,Res
2000-01-11,100.0
2000-01-12,99.96928267507903
2000-01-13,99.96999440772049
2000-01-14,99.93882905397466
2000-01-17,99.94505010482817
2000-01-18,99.94707273925789
2000-01-19,99.93826348261732
2000-01-20,99.91570140409556
2000-01-21,99.92314243637024
2000-01-24,99.93715309079566
2000-01-25,99.94386045490195
2000-01-26,99.9692794148176
2000-01-27,99.98904874405686
2000-01-28,100.02840890566577
2000-01-31,100.03749217718075
2000-02-01,100.05330275345325
2000-02-02,100.06605963311522
2000-02-03,100.04947725018785
2000-02-04,100.04436764750048
2000-02-07,100.04099584393244
2000-02-08,100.05118848563859
2000-02-09,100.05273467957801
2000-02-10,100.01702066464884
2000-02-11,100.01914357400301
2000-02-14,100.01929874052968
2000-02-15,100.00795528901499
2000-02-16,100.0103708857261
2000-02-17,99.98193856383813
2000-02-18,99.97207203367788
2000-02-21,99.950620723598
2000-02-22,99.97723018894845
2000-02-23,99.95315095655472
2000-02-24,99.95748296867461
2000-02-25,99.9472883670176
2000-02-28,99.94264050381025
2000-02-29,99.90663028016499
2000-03-01,99.89691913266168
2000-03-02,99.89559915868982
2000-03-03,99.89745011448615
2000-03-06,99.89505770523891
2000-03-07,99.8960893503926
2000-03-08,99.89343104609227
2000-03-09,99.86640371660036
2000-03-10,99.87472157409292
2000-03-13,99.87099307624632
2000-03-14,99.87111843822946
2000-03-15,99.84398538173649
2000-03-16,99.84331875780843
2000-03-17,99.85270647986648
2000-03-20,99.84687546845828
2000-03-21,99.85326372639291
2000-03-22,99.85943883120602
2000-03-23,99.86443378821029
2000-03-24,99.83738615056012
2000-03-27,99.83043694146704
2000-03-28,99.83162812636111
2000-03-29,99.83244104093163
2000-03-30,99.83368023157112
2000-03-31,99.8292218927226
2000-04-03,99.84099439405117
2000-04-04,99.86197149913687
2000-04-05,99.85319613687902
2000-04-06,99.84786740367218
2000-04-07,99.82956863843863
2000-04-10,99.8165294421121
2000-04-11,99.81626914368381
2000-04-12,99.81364790588789
2000-04-13,99.81977785051015
2000-04-14,99.83417646109699
2000-04-17,99.83675310035326
2000-04-18,99.8154417664738
2000-04-19,99.80976900616898
2000-04-20,99.81361731865528
2000-04-21,99.81234751101074
2000-04-24,99.77792928691669
2000-04-25,99.76465514543008
2000-04-26,99.78208561580784
2000-04-27,99.78430411371737
2000-04-28,99.79166617124807
2000-05-01,99.75535797800171
2000-05-02,99.75223086787662
2000-05-03,99.77480416145531
2000-05-04,99.78161187602608
2000-05-05,99.80329206757469
2000-05-08,99.80055751463016
2000-05-09,99.7991285154172
2000-05-10,99.80432644520239
2000-05-11,99.80199890446276
2000-05-12,99.82276326201456
2000-05-15,99.84110478827739
2000-05-16,99.83875458828528
2000-05-17,99.86899755207486
2000-05-18,99.88775251806703
2000-05-19,99.93305597940235
2000-05-22,99.9442058085064
2000-05-23,99.95948002101183
2000-05-24,99.98383472308302
2000-05-25,99.97181083972762
2000-05-26,99.97995853600456
2000-05-29,99.98344954254796
2000-05-30,99.97908210363214
2000-05-31,99.98299172703778
2000-06-01,99.98550451212503
2000-06-02,99.9816055022066
2000-06-05,99.99565599177484
2000-06-06,100.00872812566288
2000-06-07,100.01801220777111
2000-06-08,100.02166797864795
2000-06-09,99.98179348997672
2000-06-12,99.97728333484218
2000-06-13,99.96842035133425
2000-06-14,99.96369122248656
2000-06-15,99.93450682061217
2000-06-16,99.950020801194
2000-06-19,99.95012811701987
2000-06-20,99.94175680984424
2000-06-21,99.9471851737313
2000-06-22,99.96113339993308
2000-06-23,99.98040069919824
2000-06-26,99.97908808573563
2000-06-27,99.98189264622712
2000-06-28,99.97734741561534
2000-06-29,99.93531802718016
2000-06-30,99.93018469996478
2000-07-03,99.94492637860965
2000-07-04,99.93749197919844
2000-07-05,99.95912432983235
2000-07-06,99.9590656400889
2000-07-07,99.967608831702
2000-07-10,99.96872204387664
2000-07-11,99.97371381688848
2000-07-12,99.9671763845051
2000-07-13,99.96331747779237
2000-07-14,99.97133759231492
2000-07-17,99.97281177584192
2000-07-18,99.96840647830332
2000-07-19,99.95899004563401
2000-07-20,99.95546439473677
2000-07-21,99.95750334455961
2000-07-24,99.96023352098761
2000-07-25,99.96482520343362
2000-07-26,99.96697181033005
2000-07-27,99.96395536948987
2000-07-28,99.97952312544716
2000-07-31,99.97891419982692
2000-08-01,99.9428872306501
2000-08-02,99.93098379358726
2000-08-03,99.92990319596824
2000-08-04,99.92881742196751
2000-08-07,99.94131787536654
2000-08-08,99.9078737848555
2000-08-09,99.89158702626149
2000-08-10,99.88456383773892
2000-08-11,99.8940695599007
2000-08-14,99.88538614090615
2000-08-15,99.88173816671608
2000-08-16,99.84690984386833
2000-08-17,99.8329847003657
2000-08-18,99.82983439070354
2000-08-21,99.82148944897439
2000-08-22,99.77720302246094
2000-08-23,99.7732456358789
2000-08-24,99.77470142842535
2000-08-25,99.77008488278676
2000-08-28,99.77442725693005
2000-08-29,99.76683797707022
2000-08-30,99.76539394241007
2000-08-31,99.74063579319431
2000-09-01,99.7376399130835
2000-09-04,99.73616297998608
2000-09-05,99.73641988632488
2000-09-06,99.73815945449857
2000-09-07,99.7381948170838
2000-09-08,99.73790734231284
2000-09-11,99.74421648450148
2000-09-12,99.74011892797333
2000-09-13,99.75761026735765
2000-09-14,99.73969440780743
2000-09-15,99.76165581968436
2000-09-18,99.7687843380654
2000-09-19,99.74454858826645
2000-09-20,99.75836424286588
2000-09-21,99.75300567131424
2000-09-22,99.75375327175355
2000-09-25,99.72662073143631
2000-09-26,99.66550736635725
2000-09-27,99.65084351565316
2000-09-28,99.65556053739448
2000-09-29,99.64844221696627
2000-10-02,99.64873376558637
2000-10-03,99.65146571764913
2000-10-04,99.65464958360295
2000-10-05,99.64316665213842
2000-10-06,99.63897850411146
2000-10-09,99.62082622738421
2000-10-10,99.61805841857998
2000-10-11,99.61270495312743
2000-10-12,99.61078623548835
2000-10-13,99.61711942000328
2000-10-16,99.62114748582859
2000-10-17,99.61440359149513
2000-10-18,99.647274280129
2000-10-19,99.63855152690263
2000-10-20,99.65816344772307
2000-10-23,99.6510760656284
2000-10-24,99.6397677499221
2000-10-25,99.65750531117268
2000-10-26,99.66234783907848
2000-10-27,99.65156945102424
2000-10-30,99.62283084272819
2000-10-31,99.58806374545406
2000-11-01,99.584388122616
2000-11-02,99.60014692368746
2000-11-03,99.60991362168235
2000-11-06,99.61958337685759
2000-11-07,99.62391823811322
2000-11-08,99.62304016718768
2000-11-09,99.64029465059177
2000-11-10,99.64382924509295
2000-11-13,99.64869177144627
2000-11-14,99.65125918436006
2000-11-15,99.66563024313629
2000-11-16,99.6701943303652
2000-11-17,99.67280645947818
2000-11-20,99.67951025194743
2000-11-21,99.64846588851437
2000-11-22,99.65416479934167
2000-11-23,99.64971712593274
2000-11-24,99.65844508099481
2000-11-27,99.65155070171511
2000-11-28,99.64994211680182
2000-11-29,99.6606553764363
2000-11-30,99.66326661640784
2000-12-01,99.65503655367333
2000-12-04,99.67003092046517
2000-12-05,99.61020954874967
2000-12-06,99.61612265027875
2000-12-07,99.639867512697
2000-12-08,99.63875433640736
2000-12-11,99.61931940936671
2000-12-12,99.63683901677213
2000-12-13,99.64962474775665
2000-12-14,99.66716948474999
2000-12-15,99.6793156346313
2000-12-18,99.67976446375712
2000-12-19,99.6925741936884
2000-12-20,99.70589614889056
2000-12-21,99.72112015210587
2000-12-22,99.72373987268388
2000-12-25,99.68055690815625
2000-12-26,99.66640648648605
2000-12-27,99.65381397667534
2000-12-28,99.6667385484783
