,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_ARSUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2000-01-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-11,100.0,100.0,100.0,100.0,100.0,100.01841949381466,100.25678410105711,100.0,99.85161679074075,99.9589365911082,100.0,100.0,100.00095840190708,100.0,100.0,100.0,100.10025412386176,100.0
2000-01-12,99.68661021732272,100.0,100.0,100.0,100.0,100.03175051266682,100.24841135002184,100.0,100.14810107445875,99.96647683985582,100.0,100.0,99.97152635295527,100.0,100.0,100.0,99.98171637756018,100.23671912891892
2000-01-13,100.5404751337155,100.0,100.0,100.0,100.0,100.31679906283095,100.09022325763785,100.0,100.34153085312877,99.97141058286326,100.0,100.0,99.95371472462456,100.0,100.0,99.7473049106558,100.12107353371339,100.52244708548791
2000-01-14,101.10473047005993,100.0,100.0,100.0,100.0,100.72937449186797,99.59915734495007,100.0,100.13475451506275,99.98183660582296,100.0,100.0,100.03953438839804,100.0,100.0,99.69743125820048,100.07101299694654,100.47218586194518
2000-01-17,101.82895305500925,100.0,100.3958537971962,100.0,100.0,100.72819822549836,99.38414834990674,100.0,100.16106630358526,99.99589311892052,100.0,100.0,100.02115126397132,100.0,100.0,99.69743125820048,100.07101299694654,100.83262940313386
2000-01-18,101.8474923056758,100.0,100.61583348666404,100.0,100.0,100.68379417005666,99.4712899917545,100.0,99.87640325818933,100.00417808359391,100.0,100.0,100.05839375957125,100.0,100.0,99.78293992552756,100.07101299694654,100.7822130884323
2000-01-19,101.9766049442432,100.0,100.56552556992072,100.0,100.0,100.46696906931341,99.61695960200676,100.0,99.49888629242567,100.00799475271272,100.0,100.0,100.00762585636218,100.0,100.0,99.7330484555648,100.02389716773895,100.46947439759118
2000-01-20,102.53516608216908,100.0,100.24987761096477,100.0,100.0,100.50902059201591,99.56715112220576,100.0,99.67820685116274,100.01823459669149,100.0,100.0,99.92256818738372,100.0,100.0,99.7330484555648,99.60417143846851,100.52290895324845
2000-01-21,103.12921664279784,100.0,100.19975267215929,100.0,100.0,100.72378722661311,99.56715112220576,100.0,99.1890554493117,100.02484395053239,100.0,100.0,100.02486598859588,100.0,100.0,99.7330484555648,99.55436935274928,100.47264749877183
2000-01-24,103.07765203447644,100.0,99.97497220946231,100.0,100.0,100.83817913102861,99.56715112220576,100.0,99.13946092158704,100.03945900057477,100.0,100.0,99.88389695154328,100.0,100.0,99.7330484555648,99.58251255047622,100.82795159505989
2000-01-25,102.78211753822129,100.0,99.52306575324813,100.0,100.0,100.80818433861127,99.56715112220576,100.0,99.13946092158704,100.05062973946025,100.0,100.0,99.83395500306752,100.0,100.0,99.47125191652374,99.65137446855925,99.68275572101774
2000-01-26,102.81056605725637,100.0,99.47330422037152,100.0,100.0,101.18556979876664,99.56715112220576,100.0,99.13946092158704,100.06356917866917,100.0,100.0,99.83395500306752,100.0,100.0,99.42151629056548,99.60154878132498,99.63291434315724
2000-01-27,102.760681909925,100.0,99.47330422037152,100.0,100.0,101.54913412908192,99.56715112220576,100.0,99.13946092158704,100.0723195907964,100.0,100.0,99.83395500306752,100.21264642563774,100.0,99.42151629056548,99.60154878132498,100.13196545254463
2000-01-28,101.72939001521996,100.0,99.47330422037152,100.0,100.0,101.06804118403186,99.56715112220576,100.0,99.13946092158704,100.12342572119826,100.0,100.0,99.83395500306752,100.05457218798489,100.0,99.42151629056548,99.69728789830918,100.56210665876807
2000-01-31,102.6225411942364,100.0,99.47330422037152,100.0,100.0,101.29839334802303,99.56715112220576,100.0,99.13946092158704,100.13832003971255,100.0,100.0,99.8090476050491,99.79854056121519,100.0,99.42151629056548,99.58208713836844,100.49702702421374
2000-02-01,102.5712299236393,100.0,99.47330422037152,100.0,100.0,101.75154996680179,99.56715112220576,100.0,99.13946092158704,100.15163183688436,100.0,100.0,99.83386699761611,99.88696485784675,100.0,99.42151629056548,99.53229609479926,100.44677851070163
2000-02-02,102.45097386214903,100.0,99.47330422037152,100.0,100.0,101.7046953564245,99.56715112220576,100.0,99.13946092158704,100.162337128316,100.0,100.0,99.86943195094919,99.58229500410718,100.0,99.42151629056548,99.53229609479926,100.11652086726028
2000-02-03,102.6335737799681,100.0,99.47330422037152,100.0,100.0,101.7165560423149,99.56715112220576,100.0,99.13946092158704,100.16261639678791,100.0,100.0,99.81949723497372,99.5979565131913,100.0,99.42151629056548,99.53229609479926,99.90594427511316
2000-02-04,103.57207393645925,100.0,99.47330422037152,100.0,100.0,101.72880881699484,99.56715112220576,100.0,99.13946092158704,100.16429200762038,100.0,100.0,99.78307854210134,99.54815753493472,100.0,99.22148055292766,98.87186105288728,101.15503631668452
2000-02-07,103.55185846075308,100.0,99.47330422037152,100.0,100.0,101.8582961398164,99.56715112220576,100.0,99.13946092158704,100.17434567261719,100.0,100.0,99.77367280605415,99.54815753493472,100.0,99.1718698126512,98.9041715763718,101.09289462666199
2000-02-08,103.83619639356557,100.0,99.47330422037152,100.0,100.0,102.47338542877067,99.56715112220576,100.0,99.13946092158704,100.18374771117922,100.0,100.0,99.78516870566816,99.54815753493472,100.0,99.1718698126512,98.85471949058362,101.04234817934866
2000-02-09,103.638137582559,100.0,99.47330422037152,100.0,100.0,103.05054012731455,99.56715112220576,100.0,99.13946092158704,100.19138104941783,100.0,100.0,99.83428754947187,99.38904999100298,100.0,99.1718698126512,98.92247580133836,100.69236694785933
2000-02-10,103.78043867625748,100.0,99.28939874526114,100.0,100.0,102.83538140392784,99.56715112220576,100.0,99.13946092158704,100.19947983511028,100.0,100.0,99.7798482893179,99.7081567712942,100.0,99.1718698126512,98.88277470671666,100.98382381429695
2000-02-11,103.73036243251404,100.0,99.30712351797189,100.0,100.0,103.02564248916417,99.09043522610901,100.0,99.13946092158704,100.20757862080272,100.0,100.0,99.78117839340496,99.63207769341182,100.0,99.1718698126512,98.8333333193633,101.20122917755407
2000-02-14,103.56652459018727,100.0,99.55249602367677,100.0,100.0,103.32029721467788,99.18297268385645,100.0,99.13946092158704,100.22684814538064,100.0,100.0,99.88464148992793,99.74305454399483,100.0,99.0359839511394,98.77032967920233,101.8660217102655
2000-02-15,103.37414725274539,100.0,99.71371439111824,100.0,100.0,103.11778335476062,99.43031197189404,100.0,99.13946092158704,100.23662254190558,100.0,100.0,99.8764708505331,99.61844726141551,100.0,98.98646595916384,98.72094451436274,101.7669052683595
2000-02-16,103.52979320295591,100.0,99.6638575339227,100.0,100.0,103.29334111038042,99.4978945891347,100.0,99.13946092158704,100.24416279065318,100.0,100.0,99.9125736757663,99.53260454075597,100.0,98.98646595916384,98.73941683726821,101.71602181572533
2000-02-17,103.74542494382537,100.0,99.56594103392692,100.0,100.0,103.13474119491798,99.71643353665262,100.0,99.13946092158704,100.19404070925786,100.0,100.0,100.00596598419806,99.32360458347327,100.0,98.98646595916384,98.69004712884959,102.42052843143729
2000-02-18,103.43505793444932,100.0,99.89800110009537,100.38190821332827,100.0,102.93389371235725,99.36485665253193,100.0,99.13946092158704,100.19404070925786,100.0,100.0,99.89233709214915,99.12784837926577,100.0,98.98646595916384,98.69004712884959,102.54747825163416
2000-02-21,103.38722785467303,100.0,99.3529402096173,100.16447134183144,100.0,102.37242256540473,99.63543257894295,100.0,99.13946092158704,100.19404070925786,100.0,100.0,99.9390807500819,99.12891174630083,100.0,98.98646595916384,98.69004712884959,102.49620451250834
2000-02-22,102.99177086912047,100.0,99.45740509279824,100.26752349768458,100.0,102.50279208800373,100.49633366684553,100.0,99.13946092158704,100.19404070925786,100.0,100.0,99.95152672404409,99.07934729042769,100.0,98.98646595916384,98.69004712884959,101.11168178443543
2000-02-23,103.172785259433,100.0,99.54212918555473,100.12295392652364,100.0,102.69295515104268,100.39315971970223,100.0,98.74985730785934,100.19404070925786,100.0,100.0,99.95152672404409,99.07934729042769,100.0,99.09355417829508,98.69004712884959,101.73311515698259
2000-02-24,103.12119886680328,100.0,99.49235812096195,100.06745615708175,100.0,102.3648748562012,100.09934715491778,100.0,98.69388384958697,100.19404070925786,100.0,100.0,99.92872493968653,99.07934729042769,100.0,99.04400740120593,98.69004712884959,102.1185567242612
2000-02-25,103.12119886680328,100.0,99.35126068182123,100.06660886289177,100.0,102.3136924187731,99.33916543968314,100.0,99.34684251960611,100.14710405884583,100.0,100.0,99.99865041171672,99.07934729042769,100.0,99.04400740120593,98.69004712884959,102.98459217643038
2000-02-28,103.12119886680328,100.0,99.18614041255402,100.18226451981992,100.0,102.3136924187731,98.86755986368344,100.0,98.12039968913626,100.15677107278731,100.0,100.0,99.96302262365809,99.07934729042769,100.0,99.04400740120593,98.69004712884959,102.86246685650373
2000-02-29,103.12119886680328,100.0,99.72018217232083,100.1420180457976,100.0,102.3136924187731,98.89128741695153,100.0,98.0713394892917,100.16476494970013,100.0,100.0,100.01983706968204,99.07934729042769,100.0,99.04400740120593,98.69004712884959,103.3997304042382
2000-03-01,103.31452623488326,100.0,99.94752832083867,99.99607162157857,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.17155044987014,100.0,100.0,100.0081511551986,99.07934729042769,100.0,99.04400740120593,98.69004712884959,103.7196284544919
2000-03-02,103.73433417919307,100.0,100.05049915542303,99.62749864894921,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.17675576506885,100.0,100.0,100.03171299903492,99.07934729042769,100.0,99.04400740120593,98.69004712884959,104.49956116311549
2000-03-03,104.45920778452546,100.0,100.00047390584533,99.59794926407469,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.09023757888582,99.07934729042769,100.0,99.04400740120593,98.69004712884959,104.99825419613876
2000-03-06,104.48596793022914,100.0,100.00047390584533,99.54815028944266,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.11379942272212,99.07934729042769,100.0,99.04400740120593,98.69004712884959,104.9457550690407
2000-03-07,104.5793020969522,100.0,100.52553010380771,99.54815028944266,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.12577035950972,99.07934729042769,100.0,99.04400740120593,98.47490354371514,104.82416879336273
2000-03-08,104.83502466004398,100.0,100.55012534062908,99.54815028944266,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.17203898026887,99.07934729042769,100.0,99.04400740120593,98.53484743326926,104.38077841967038
2000-03-09,105.31905695404224,100.0,100.47017178439745,99.54815028944266,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.13783630373202,99.07934729042769,100.0,99.04400740120593,98.48558000955263,105.07784637972877
2000-03-10,104.68503730680663,100.0,100.20959933732632,99.54815028944266,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.14895217360612,99.07934729042769,100.0,98.99818046954063,98.4185020402386,105.06554210051378
2000-03-13,104.75578852130158,100.0,100.11890916068636,99.54815028944266,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.25232026269339,99.07934729042769,100.0,98.94019626222337,98.36929278921848,105.21808025702117
2000-03-14,105.21906538521733,100.0,100.06789117718569,99.56867077740752,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.2163124448949,99.07934729042769,100.0,98.89072616409226,98.1654966554626,105.31878336492144
2000-03-15,105.13917655999427,100.0,100.0178572315971,99.70420879729511,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.23882920694828,98.8778226729093,100.0,98.89072616409226,98.23865175518708,104.89956522770069
2000-03-16,105.20914455071225,100.0,100.0178572315971,99.89257297089682,100.0,102.3136924187731,98.84184177324306,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.26163099130585,98.89340839008366,100.0,98.89072616409226,98.46036531983745,105.50683812880797
2000-03-17,105.24882788873163,100.0,100.25773780809465,99.79754903304138,100.0,102.3136924187731,98.90773737639239,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.30742457489042,98.84897457528307,100.0,98.89072616409226,98.44825927496572,105.32384469963351
2000-03-20,105.4088666137704,100.0,100.2076089391906,99.70084139307477,100.0,102.3136924187731,98.74997852859046,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.23816415490427,98.90144326291265,100.0,98.79462961355702,98.51233484103665,105.87666462038648
2000-03-21,105.54044820825521,100.0,100.2076089391906,99.5505709797214,100.0,102.3136924187731,98.76296279589933,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.23844917720844,98.91625453451252,100.0,98.74523229875025,98.46307867361614,106.88229946912357
2000-03-22,105.85204073408431,100.0,100.2076089391906,99.5785625273067,100.0,102.3136924187731,98.42050274562995,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.23702406568565,99.09805563297904,100.0,98.74523229875025,98.46307867361614,106.82885831938901
2000-03-23,106.63082624271308,100.0,100.90094689824464,99.8914154256964,100.0,102.3136924187731,98.7855229603488,100.0,98.0713394892917,100.12666738718632,100.0,100.0,100.29317345966658,99.08634214367419,100.0,98.72101148447936,98.30735967203299,106.82885831938901
2000-03-24,105.8393786163613,100.0,100.77149825615074,99.71652086897808,100.0,102.3136924187731,98.7610963074739,100.0,98.0713394892917,100.07938666963538,100.0,100.0,100.22391303968044,99.06194710809734,100.0,98.67165097873713,98.25820599219698,106.38121339158266
2000-03-27,104.72602601778732,100.0,100.72111250702267,99.66666260854359,100.0,102.3136924187731,98.84030033805747,100.0,98.0713394892917,100.08031420834925,100.0,100.0,100.24804492812505,99.09863646715992,100.0,98.67165097873713,98.25820599219698,107.7539724896911
2000-03-28,105.27415212417868,100.0,100.66684830765655,99.66666260854359,100.0,102.3136924187731,98.66387660599925,100.0,98.0713394892917,100.0816127625495,100.0,100.0,100.2603008872168,99.00163715903244,100.0,98.67165097873713,98.25820599219698,107.62764013136415
