,Return_Ex_Costs_BRLUSD Curncy,Return_Ex_Costs_ARSUSD Curncy,Return_Ex_Costs_MXNUSD Curncy,Return_Ex_Costs_COPUSD Curncy,Return_Ex_Costs_CLPUSD Curncy,Return_Ex_Costs_PENUSD Curncy,Return_Ex_Costs_TRYUSD Curncy,Return_Ex_Costs_RUBUSD Curncy,Return_Ex_Costs_ZARUSD Curncy,Return_Ex_Costs_CNYUSD Curncy,Return_Ex_Costs_KRWUSD Curncy,Return_Ex_Costs_IDRUSD Curncy,Return_Ex_Costs_INRUSD Curncy,Return_Ex_Costs_PHPUSD Curncy,Return_Ex_Costs_THBUSD Curncy,Return_Ex_Costs_CZKEUR Curncy,Return_Ex_Costs_HUFEUR Curncy,Return_Ex_Costs_PLNEUR Curncy
2000-01-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-11,100.0,100.0,100.0,100.0,100.0,100.068453720675,100.306937569842,100.0,99.901567574528,100.008941061639,100.0,100.0,100.050983893854,100.0,100.0,100.0,100.150329288506,100.0
2000-01-12,99.736478456551,100.0,100.0,100.0,100.0,100.081791408371,100.298560630337,100.0,100.198200174546,100.016485082397,100.0,100.0,100.021537121516,100.0,100.0,100.0,100.031732243682,100.286862560199
2000-01-13,100.590770518975,100.0,100.0,100.0,100.0,100.366982554108,100.14029340434,100.0,100.391726716487,100.02142129351,100.0,100.0,100.003716582916,100.0,100.0,99.797203512412,100.17115911327,100.572733452214
2000-01-14,101.155308124122,100.0,100.0,100.0,100.0,100.779764374055,99.648981835868,100.0,100.184846938532,100.031852532089,100.0,100.0,100.089579177987,100.0,100.0,99.797203512412,100.17115911327,100.572733452214
2000-01-17,101.87989300151,100.0,100.446076835614,100.0,100.0,100.778587519258,99.433865282548,100.0,100.21117188953,100.045916076959,100.0,100.0,100.0711868574,100.0,100.0,99.797203512412,100.17115911327,100.984029722318
2000-01-18,101.898441526439,100.0,100.666166569949,100.0,100.0,100.734161250682,99.521050517013,100.0,99.92636644141,100.054205186187,100.0,100.0,100.108447983563,100.0,100.0,99.932764134648,100.17115911327,100.984029722318
2000-01-19,102.02761875362,100.0,100.666166569949,100.0,100.0,100.517227683155,99.666792998506,100.0,99.548660622737,100.058023764595,100.0,100.0,100.057654683704,100.0,100.0,99.932764134648,100.17408317446,100.721025284108
2000-01-20,102.586459311825,100.0,100.400402927604,100.0,100.0,100.559300242137,99.666792998506,100.0,99.728070886606,100.068268731057,100.0,100.0,99.972554464616,100.0,100.0,99.932764134648,99.753727226482,100.774593626768
2000-01-21,103.180807046321,100.0,100.400402927604,100.0,100.0,100.77417431377,99.666792998506,100.0,99.238674786705,100.074881391228,100.0,100.0,100.074903440316,100.0,100.0,99.932764134648,99.753727226482,100.774593626768
2000-01-24,103.180807046321,100.0,100.22528498396,100.0,100.0,100.88862344275,99.666792998506,100.0,99.238674786705,100.089503752451,100.0,100.0,99.933863883485,100.0,100.0,99.932764134648,99.831842702384,101.181556281322
2000-01-25,102.936445016279,100.0,99.772247064977,100.0,100.0,100.858613645434,99.666792998506,100.0,99.238674786705,100.1006800795,100.0,100.0,99.933863883485,100.0,100.0,99.720303499132,99.900877033796,100.03234419331
2000-01-26,102.964936250801,100.0,99.772247064977,100.0,100.0,101.236187892713,99.666792998506,100.0,99.238674786705,100.113625991665,100.0,100.0,99.933863883485,100.0,100.0,99.720303499132,99.900877033796,100.03234419331
2000-01-27,102.91497720236,100.0,99.772247064977,100.0,100.0,101.59993409613,99.666792998506,100.0,99.238674786705,100.122380781187,100.0,100.0,99.933863883485,100.262777814545,100.0,99.720303499132,99.900877033796,100.583687850016
2000-01-28,101.882136821585,100.0,99.772247064977,100.0,100.0,101.118600484274,99.666792998506,100.0,99.238674786705,100.173512477437,100.0,100.0,99.933863883485,100.104624500235,100.0,99.720303499132,100.0469273351,101.015769539641
2000-01-31,102.776629068214,100.0,99.772247064977,100.0,100.0,101.349067881964,99.666792998506,100.0,99.238674786705,100.188414246836,100.0,100.0,99.958911014883,99.848464793612,100.0,99.720303499132,99.931322564883,100.950396313241
2000-02-01,102.776629068214,100.0,99.772247064977,100.0,100.0,101.802451192398,99.666792998506,100.0,99.238674786705,100.201732703236,100.0,100.0,99.983767673799,99.936933324509,100.0,99.720303499132,99.931322564883,100.950396313241
2000-02-02,102.707485936628,100.0,99.772247064977,100.0,100.0,101.755573142996,99.666792998506,100.0,99.238674786705,100.212443349991,100.0,100.0,100.019386027954,99.632111059637,100.0,99.720303499132,99.931322564883,100.668817240063
2000-02-03,102.890543039791,100.0,99.772247064977,100.0,100.0,101.767439762196,99.666792998506,100.0,99.238674786705,100.212722758167,100.0,100.0,100.019386027954,99.647780403393,100.0,99.720303499132,99.931322564883,100.457078994604
2000-02-04,103.831392970159,100.0,99.772247064977,100.0,100.0,101.779698666328,99.666792998506,100.0,99.238674786705,100.214399207224,100.0,100.0,100.032910861989,99.647780403393,100.0,99.569451328356,99.317898778357,101.713061697156
2000-02-07,103.811126879867,100.0,99.772247064977,100.0,100.0,101.909250765199,99.666792998506,100.0,99.238674786705,100.224457901568,100.0,100.0,100.023481576289,99.647780403393,100.0,99.569451328356,99.350355063358,101.650577200275
