,0
0,100.0
1,100.009937857966
2,100.017341831845
3,100.029920957957
4,100.026674428959
5,100.047171677516
6,100.059758308586
7,100.069809586236
8,100.066560467547
9,100.090629259347
10,100.098959554469
11,100.108917092066
12,100.121519264915
13,100.131481291583
14,100.128431481044
15,100.149275556585
16,100.159649988727
17,100.159548268175
18,100.183051205578
19,100.180100014932
20,100.190379051396
21,100.211554406672
22,100.224997256131
23,100.233248063126
24,100.233553674659
25,100.257702876208
26,100.267895903887
27,100.264735843647
28,100.285534737009
29,100.285330784405
30,100.308892796807
31,100.306546299272
32,100.317871714096
33,100.339305172191
34,100.352271755986
35,100.349514800196
36,100.35993076141
37,100.370961783303
38,100.382097403284
39,100.393133298858
40,100.403864968404
41,100.414803411284
42,100.436482880827
43,100.437096586939
44,100.448144579589
45,100.469736098164
46,100.470350210725
47,100.481507896077
48,100.50608401443
49,100.517454535447
50,100.515712937463
51,100.540510783709
52,100.538768386681
53,100.563475068828
54,100.561834414856
55,100.573525242657
56,100.59578634924
57,100.610153584053
58,100.608614041173
59,100.620213090486
60,100.631917496656
61,100.643624626117
62,100.655231749959
63,100.666944304945
64,100.678042924344
65,100.689143991278
66,100.70086444032
67,100.723902044452
68,100.725033626895
69,100.742010415114
70,100.759610580809
71,100.76403732115
72,100.792357070661
73,100.792975133552
74,100.80399852815
75,100.823166430513
76,100.826567948793
77,100.826567948793
78,100.836879248344
79,100.847605237369
80,100.85575438876
81,100.861428626262
82,100.861428626262
83,100.861428626262
84,100.861428626262
85,100.861428626262
86,100.861428626262
87,100.861428626262
88,100.861428626262
89,100.861428626262
90,100.861428626262
91,100.861428626262
92,100.861428626262
93,100.861428626262
94,100.874760789034
95,100.901332272756
96,100.901332272756
97,100.914571542009
98,100.928849021715
99,100.943130541973
100,100.970670096333
101,100.971395024374
102,100.998224681613
103,100.998328298655
104,101.012007614694
105,101.025794310121
106,101.038858861926
107,101.062611819694
108,101.065205613532
109,101.078384142613
110,101.091669917659
111,101.104855349789
112,101.125938421148
113,101.131028755786
114,101.144224457767
115,101.15773543628
116,101.171353997274
117,101.198602122779
118,101.209110091162
119,101.21150329991
120,101.224511848498
121,101.238252506369
122,101.262203476735
123,101.278975900037
124,101.27866331961
125,101.302946145261
126,101.318793578746
127,101.31848075249
128,101.331516816655
129,101.344347578679
130,101.36876629409
131,101.371793364706
132,101.396120874438
133,101.412519816464
134,101.412833223692
135,101.426520562031
136,101.440525173944
137,101.454533653805
138,101.468127668083
139,101.481097661383
140,101.495012711126
141,101.507884913416
142,101.534162710563
143,101.533743834207
144,101.546625863219
145,101.559615933367
146,101.572714126327
147,101.599025503795
148,101.60930217237
149,101.624825980377
