Date,Trend_BRLUSD Curncy,Trend_ARSUSD Curncy,Trend_MXNUSD Curncy,Trend_COPUSD Curncy,Trend_CLPUSD Curncy,Trend_PENUSD Curncy,Trend_TRYUSD Curncy,Trend_RUBUSD Curncy,Trend_ZARUSD Curncy,Trend_CNYUSD Curncy,Trend_KRWUSD Curncy,Trend_IDRUSD Curncy,Trend_INRUSD Curncy,Trend_PHPUSD Curncy,Trend_THBUSD Curncy,Trend_CZKEUR Curncy,Trend_HUFEUR Curncy,Trend_PLNEUR Curncy
2000-01-11,-0.13321455999999454,0.09023154000000755,-0.47727379999999986,-0.8878266800000034,0.9259005199999892,0.054164439999992986,1.0458299700000007,-0.997480559999997,1.0140178899999963,0.05802010000000024,-0.289950080000001,-0.9239623799999985,0.10847805000000488,-0.05260489999999729,0.5269768600000058,0.0852903199999977,0.23194182999999313,-0.21462479999999617
2000-01-12,0.12834665000001078,0.0875991200000037,-0.2055773599999977,-0.6833125799999951,1.1167538999999893,0.1764048899999926,0.9382784200000049,-1.7630811099999977,0.9027809500000039,0.05865499999999635,-0.48266229000000216,-1.2634018700000027,0.0878803900000058,-0.36462549000000344,0.11605201000000065,0.2944621399999958,0.29270284000000313,0.21772155999999487
2000-01-13,0.3131547900000031,0.08617584999999206,-0.021141859999995738,-0.516213210000005,1.263781340000003,0.20623113000000082,0.7694480899999911,-2.4660683599999955,0.8460511600000054,0.058480360000001674,-0.38386661000000544,-1.1798687900000049,0.08570267000000964,-0.4086230900000043,0.045163079999999134,0.351216820000011,0.16795148999999565,0.3098703800000102
2000-01-14,0.468538680000008,0.08916847000000061,0.2022061899999983,-0.6168904899999994,1.3925858899999977,0.305809349999997,0.7069199300000051,-3.104114449999995,0.7209020199999916,0.056553109999990525,-0.31237426000000346,-1.2687869299999988,0.08218594000000135,-0.5084324699999976,-0.12000210999999483,0.2661324099999973,0.17840502999999508,0.4351219699999964
2000-01-17,0.5301865300000097,0.08962091999999977,0.2627627499999896,-0.7124774300000025,1.5022304900000005,0.4283841499999941,0.562034950000001,-3.1235094200000035,0.6694753499999928,0.055243499999990675,-0.03453478999999593,-1.0474864900000047,0.08372995999998967,-0.6430570899999988,-0.2557074299999962,0.25315282000000217,0.18279678999999494,0.6449965100000066
2000-01-18,0.8205259499999951,0.09132060000001108,0.4443924500000085,-0.8565731200000037,1.744798610000009,0.5530297199999978,0.27518923000000584,-2.760017150000005,0.6495114300000049,0.05518596000000375,0.4657003900000012,-0.7652394800000017,0.07317782000000328,-0.5416356000000011,-0.12585604000000528,0.16848912000000382,0.16896674999999917,1.0481995199999927
2000-01-19,1.185233590000001,0.09435883999999728,0.7596896899999983,-1.054497919999997,1.7363173899999973,0.6469341699999909,0.02955292999999859,-2.3360763100000015,0.4978633399999932,0.05510502999999112,0.8172298000000078,-0.6767183300000035,0.07819897000000964,-0.4495724800000045,-0.0453062900000023,0.17095309999999309,0.1601150299999965,1.2595726100000038
2000-01-20,1.369485530000003,0.09472318999999008,0.9184945000000111,-0.9518434500000006,1.5869981300000058,0.6407787699999945,-0.15648332000000043,-1.9978913600000037,0.23094974999999796,0.05514075999999424,0.8055270699999895,-0.8877778899999966,0.0793865099999902,-0.43952329999999984,-0.026900829999998432,0.19812339000000456,0.14384714999999826,1.3883009099999954
2000-01-21,1.593903809999997,0.09032156999999597,0.8969204000000008,-0.9811589699999956,1.3858710999999913,0.5319962099999964,-0.2246586199999956,-1.676531910000001,0.04476524000001092,0.05526387000001076,0.5396749099999987,-1.287266620000005,0.04889157000000921,-0.419420260000003,0.04071339000000229,0.09072116999999658,0.04755509000000657,1.270056399999997
2000-01-24,1.7792109700000003,0.08993137999999679,0.7636574900000026,-0.9443538700000031,1.0550264299999945,0.4644217999999922,-0.26935992000000075,-1.3446952799999967,-0.23668515000000445,0.05358265999999556,0.35466544000000155,-1.2458156699999945,0.03527732999999422,-0.38876279999999763,0.122554720000001,0.09913746000000945,0.05162855000000466,1.2185248400000015
2000-01-25,1.9567212799999956,0.08035018999998922,0.5391387400000003,-0.7869732199999979,0.7629551900000031,0.4358636699999918,-0.38378000000000023,-1.0279393000000026,-0.5358474300000027,0.0532110900000049,0.2988749800000079,-1.248880590000001,-0.011647569999995167,-0.2848897100000025,0.12936032999999458,0.18470911999999284,0.07834576000000926,1.3228778500000038
2000-01-26,1.9892363599999907,0.07351121000001015,0.3306562399999935,-0.864522160000003,0.6279036200000032,0.4353027000000065,-0.4745864600000038,-0.7485954399999994,-0.6777321900000022,0.05437571999999946,0.44159801999998916,-1.0355071600000043,-0.030142219999995667,-0.059686690000004816,0.2271506999999895,0.27230115000000943,0.07952491000000617,1.2286331999999955
2000-01-27,1.7827916799999954,0.07122208999998936,0.16375330000000243,-1.0257963399999959,0.47145049999999245,0.49617291999999313,-0.5126903900000035,-0.551332910000002,-0.8574168400000026,0.05590654000000583,0.427782660000009,-1.3856144999999986,-0.009342479999996378,0.14551349000000435,0.09319019000000317,0.4547926399999902,0.2064096600000065,1.165521639999989
2000-01-28,1.4645431900000005,0.06173130000000082,-0.06727315000000234,-1.3625438599999984,0.2543282300000005,0.5762517199999984,-0.5688789000000027,-0.29206854000000115,-1.0622968700000013,0.0580189099999906,0.40684681000000555,-1.4384955799999988,-0.0035427899999995738,0.3097607499999988,0.004505820000000327,0.5473143599999952,0.18744359000000266,0.9696225899999966
