,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2000-01-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-11,100.0,100.0,100.0,100.0,100.0,99.97805810934099,100.07925804479221,100.0,99.58597183440574,99.95,100.0,100.0,99.90648672181106,100.0,100.0,100.0,99.82267515923569,100.0
2000-01-12,99.65854747585203,100.0,100.0,100.0,100.0,99.95,100.06086987105607,100.0,100.03493990530534,99.941724623282,100.0,100.0,99.90648672181106,100.0,100.0,100.0,99.6698853503185,100.18937605042018
2000-01-13,100.46004191725899,100.0,100.0,100.0,100.0,100.19200119306618,99.70121882592298,100.0,100.07740985795802,99.941724623282,100.0,100.0,99.90648672181106,100.0,100.0,99.95,100.00092993630575,100.6681281512605
2000-01-14,100.97008383451796,100.0,100.0,100.0,100.0,100.56377114183452,98.45785378417717,100.0,100.08954413014447,99.941724623282,100.0,100.0,99.95000000000002,100.0,100.0,99.90002500000001,99.9509294713376,100.61779408718488
2000-01-17,101.51655731729544,100.0,99.19136622390893,100.0,100.0,100.521683977823,98.88619006650109,100.0,100.0167384970256,99.95,100.0,100.0,99.95000000000002,100.0,100.0,99.90002500000001,99.9509294713376,100.56748519014128
2000-01-18,101.62585201385092,100.0,101.74227229601519,100.0,100.0,100.43400238613238,98.87158769324004,100.0,99.5981061065922,99.95,100.0,100.0,99.95000000000002,100.0,100.0,100.21054457229243,99.9509294713376,100.51720144754621
2000-01-19,101.71693092764718,100.0,101.69140115986718,100.0,100.0,100.17797213839569,98.81750482931027,100.0,99.26441362146412,99.941724623282,100.0,100.0,99.86297344362212,100.0,100.0,100.16043930000629,99.90095400660194,100.19635565509941
2000-01-20,102.22697284490616,100.0,101.43002046068973,100.0,100.0,100.17797213839569,98.76809607689562,100.0,99.49496479300714,99.95,100.0,100.0,99.77594688724423,100.0,100.0,100.16043930000629,99.56931141158512,100.32956781102459
2000-01-21,103.59315655184983,100.0,101.3793054504594,100.0,100.0,100.34982805810935,98.76809607689562,100.0,98.93678827242927,99.95,100.0,100.0,99.86297344362212,100.0,100.0,100.16043930000629,99.51952675587933,100.27940302711909
2000-01-24,103.5413599735739,100.0,100.64752787558713,100.0,100.0,100.41997333146188,98.76809607689562,100.0,98.88731987829306,99.95,100.0,100.0,99.68892033086635,100.0,100.0,100.16043930000629,99.06356069544167,100.12190284908982
2000-01-25,103.19594974247923,100.0,100.61874951267951,100.0,100.0,100.34982805810935,98.76809607689562,100.0,98.88731987829306,99.958275376718,100.0,100.0,99.63907587070092,100.0,100.0,100.47046828568133,99.9267490766936,99.76678742676866
2000-01-26,103.17759727053499,100.0,100.56844013792318,100.0,100.0,100.67951084286618,98.76809607689562,100.0,98.88731987829306,99.958275376718,100.0,100.0,99.63907587070092,100.0,100.0,100.4202330515385,99.87678570215526,99.71690403305529
2000-01-27,103.08583491081376,100.0,100.56844013792318,100.0,100.0,100.99867183662013,98.76809607689562,100.0,98.88731987829306,99.958275376718,100.0,100.0,99.63907587070092,100.19289185905225,100.0,100.4202330515385,99.87678570215526,100.41329093762717
2000-01-28,102.02139153804764,100.0,100.56844013792318,100.0,100.0,100.47959681381151,98.76809607689562,100.0,98.88731987829306,99.96655075343602,100.0,100.0,99.63907587070092,100.0309639530174,100.0,100.4202330515385,100.00520053318503,100.77198345709232
2000-01-31,102.86560524748282,100.0,100.56844013792318,100.0,100.0,100.66548178819568,98.76809607689562,100.0,98.88731987829306,99.96655075343602,100.0,100.0,99.63272610855464,99.78807209396516,100.0,100.4202330515385,99.75041021335527,100.62768186880174
2000-02-01,102.81417244485908,100.0,100.56844013792318,100.0,100.0,101.07232437364028,98.76809607689562,100.0,98.88731987829306,99.97482613015401,100.0,100.0,99.63272610855464,99.82855407047387,100.0,100.4202330515385,99.7005350082486,100.57736802786735
2000-02-02,102.65276061427414,100.0,100.56844013792318,100.0,100.0,100.98464278194965,98.76809607689562,100.0,98.88731987829306,99.97482613015401,100.0,100.0,99.6761958843437,99.54518023491292,100.0,100.4202330515385,99.7005350082486,100.19179591196459
