,Inflation_Differential_ARSUSD Curncy
2000-10-02,-3.36225
2000-10-03,-3.2735
2000-10-04,-3.2735
2000-10-05,-3.2735
2000-10-06,-3.2735
2000-10-09,-3.2735
2000-10-10,-3.2735
2000-10-11,-3.2735
2000-10-12,-3.2735
2000-10-13,-3.2735
2000-10-16,-3.2735
2000-10-17,-3.2735
2000-10-18,-3.2735
2000-10-19,-3.2735
2000-10-20,-3.2735
2000-10-23,-3.2735
2000-10-24,-3.2735
2000-10-25,-3.2735
2000-10-26,-3.2735
2000-10-27,-3.2735
2000-10-30,-3.2735
2000-10-31,-3.2735
2000-11-01,-3.2735
2000-11-02,-3.18475
2000-11-03,-3.18475
2000-11-06,-3.18475
2000-11-07,-3.18475
2000-11-08,-3.18475
2000-11-09,-3.18475
2000-11-10,-3.18475
2000-11-13,-3.18475
2000-11-14,-3.18475
2000-11-15,-3.18475
2000-11-16,-3.18475
2000-11-17,-3.18475
2000-11-20,-3.18475
2000-11-21,-3.18475
2000-11-22,-3.18475
2000-11-23,-3.18475
2000-11-24,-3.18475
2000-11-27,-3.18475
2000-11-28,-3.18475
2000-11-29,-3.18475
2000-11-30,-3.18475
2000-12-01,-3.18475
2000-12-04,-3.096
2000-12-05,-3.096
2000-12-06,-3.096
2000-12-07,-3.096
2000-12-08,-3.096
2000-12-11,-3.096
2000-12-12,-3.096
2000-12-13,-3.096
2000-12-14,-3.096
2000-12-15,-3.096
2000-12-18,-3.096
2000-12-19,-3.096
2000-12-20,-3.096
2000-12-21,-3.096
2000-12-22,-3.096
2000-12-25,-3.096
2000-12-26,-3.096
2000-12-27,-3.096
2000-12-28,-3.096
2000-12-29,-3.096
2001-01-01,-3.096
2001-01-02,0.3567500000000001
2001-01-03,0.3567500000000001
2001-01-04,0.3567500000000001
2001-01-05,0.3567500000000001
2001-01-08,0.3567500000000001
2001-01-09,0.3567500000000001
2001-01-10,0.3567500000000001
2001-01-11,0.3567500000000001
2001-01-12,0.3567500000000001
2001-01-15,0.3567500000000001
2001-01-16,0.3567500000000001
2001-01-17,0.3567500000000001
2001-01-18,0.3567500000000001
2001-01-19,0.3567500000000001
2001-01-22,0.3567500000000001
2001-01-23,0.3567500000000001
2001-01-24,0.3567500000000001
2001-01-25,0.3567500000000001
2001-01-26,0.3567500000000001
2001-01-29,0.3567500000000001
2001-01-30,0.3567500000000001
2001-01-31,0.3567500000000001
2001-02-01,0.3567500000000001
2001-02-02,3.8095
2001-02-05,3.8095
