,0
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,99.956295064827
31,100.257824486618
32,100.245228390192
33,100.248826951907
34,100.167827204053
35,100.139659400917
36,100.078557632821
37,100.102064013567
38,99.990483387385
39,100.140793368744
40,100.219004572746
41,100.219004572746
42,100.219004572746
43,100.219004572746
44,100.219004572746
45,100.219004572746
46,100.219004572746
47,100.219004572746
48,100.219004572746
49,100.219004572746
50,100.219004572746
51,100.042226956467
52,99.915490960323
53,99.75620749362
54,99.814257934705
55,99.814257934705
56,99.814257934705
57,99.814257934705
58,99.814257934705
59,99.814257934705
60,99.814257934705
61,99.814257934705
62,99.814257934705
63,99.814257934705
64,99.814257934705
65,99.814257934705
66,99.814257934705
67,99.814257934705
68,99.814257934705
69,99.814257934705
70,99.814257934705
71,99.814257934705
72,99.973651647508
73,99.965754478131
74,99.800576430414
75,99.916801078667
76,99.974685893036
77,100.065218208952
78,100.267577810043
79,100.146290384613
80,100.152611988987
81,100.314319646094
82,100.416755070778
83,100.404994225217
84,100.252542637814
85,100.425862133929
86,100.21303771042
87,100.453762793587
88,100.714345957516
89,100.453952647083
90,100.681436918534
91,100.751859866653
92,100.525958835562
93,100.694216425332
94,100.600067556435
95,100.474176153184
96,100.642927284318
97,100.973694890757
98,100.812724248862
99,100.864090938511
100,100.948380534097
101,101.117190695565
102,100.853277584979
103,100.945312989703
104,100.933619686768
105,100.815496904965
106,100.916659628323
107,100.831179623724
108,100.831179623724
109,100.831179623724
110,100.831179623724
111,100.831179623724
112,100.831179623724
113,100.831179623724
114,100.831179623724
115,100.858792967541
116,100.765371305415
117,100.738478821581
118,100.613774575664
119,100.577329504434
120,100.577329504434
121,100.577329504434
122,100.577329504434
123,100.577329504434
124,100.577329504434
125,100.632272458489
126,100.687275473358
127,100.658953370751
128,100.728447473558
129,100.732279138919
130,100.752400165602
131,100.772720976203
132,100.825286353847
133,100.910293411626
134,100.881557484281
135,100.986104038066
136,101.171684583993
137,101.402388892945
138,101.600807453377
139,101.377446998266
140,101.454641644465
141,101.542173809043
142,101.547041135944
143,101.497416284726
144,101.395594164696
145,101.562327575815
146,101.66624141708
147,101.639218972343
148,101.615232740698
149,101.685761141797
150,101.674731576329
151,101.661948083304
152,101.669852001175
153,101.605777866895
154,101.677171539555
155,101.673267654604
156,101.557264041443
157,101.718375798277
158,101.696890739115
159,101.694938001969
160,101.694938001969
161,101.694938001969
162,101.694938001969
163,101.694938001969
164,101.694938001969
165,101.672980734478
166,101.672980734478
167,101.673761459053
168,101.687230845534
169,101.713398982172
170,101.666247482657
171,101.700606158288
172,101.735281192706
173,101.737039993323
174,101.751112587805
175,101.77213100032
176,101.768806580342
177,101.768806580342
178,101.830275240987
179,101.830275240987
180,102.121529327057
181,102.148161363295
182,102.174906008241
183,102.13218047494
184,102.231204313894
185,102.142439235968
186,102.204232649264
187,102.219643286112
188,102.300031692624
189,102.326063872141
190,102.27698002599
191,102.269265479857
192,102.293402037476
193,102.276881114188
194,102.19178898818
195,102.206603214022
196,102.201565895351
197,102.186753129625
198,102.186358181316
199,103.763660303663
200,104.413474639171
201,105.258881173267
202,105.702848116611
203,105.504284419407
204,104.903678259206
205,104.686958508373
206,104.566784291781
207,104.670484219195
208,104.718470960819
209,105.268625086179
210,105.55957100396
211,105.550194533141
212,105.552196111781
213,105.243902116245
214,104.992618868566
215,104.84096898134
216,104.827771111407
217,104.827771111407
218,104.827771111407
219,104.827771111407
220,104.827771111407
221,104.827771111407
222,104.827771111407
223,104.827771111407
224,104.827771111407
225,104.827771111407
226,104.961769771781
227,106.175611632572
228,106.348878607547
229,106.137029323936
230,106.157982808656
231,106.307260224035
232,106.440208102426
233,106.711882110277
234,106.602417669402
235,106.678118367858
236,106.673126187535
237,106.507239549661
238,106.522820227211
239,106.474686321921
240,106.510160579512
241,106.673234708226
242,106.626916446497
243,106.558868009429
244,106.536240575021
245,106.496530477489
246,106.496530477489
247,106.496530477489
248,106.496530477489
249,106.496530477489
250,106.496530477489
251,106.496530477489
252,106.496530477489
253,106.496530477489
254,106.496530477489
255,106.496530477489
256,106.496530477489
257,106.496530477489
258,106.496530477489
259,106.496530477489
260,106.496530477489
261,106.496530477489
262,106.496530477489
263,106.496530477489
264,106.496530477489
265,106.496530477489
266,106.496530477489
267,106.496530477489
268,106.496530477489
269,106.496530477489
270,106.496530477489
271,106.496530477489
272,106.496530477489
273,106.496530477489
274,106.496530477489
275,106.496530477489
276,106.496530477489
277,106.496530477489
278,106.496530477489
279,106.496530477489
280,106.496530477489
281,106.496530477489
282,106.496530477489
283,106.496530477489
284,106.496530477489
285,106.496530477489
286,106.496530477489
287,106.496530477489
288,106.496530477489
289,106.496530477489
290,106.496530477489
291,106.496530477489
292,106.496530477489
293,106.496530477489
294,106.496530477489
295,106.454009390164
296,106.444879660732
297,106.437010461106
298,106.432814030362
299,106.479622965812
300,106.473428389453
301,106.437639954259
302,106.455688591361
303,106.494114789948
304,106.554750168371
305,106.773166997466
306,106.866685941195
307,106.89080550195
308,106.993647244806
309,107.398454594247
310,107.678192176092
311,107.656613917913
312,107.629358236799
313,107.920978702759
314,107.591609391269
315,107.288650370732
316,107.215785118911
317,107.129837787974
318,107.466969161438
319,107.712241142742
320,108.037269951981
321,107.853715517135
322,108.125871024307
323,107.762010679155
324,107.879791604768
325,107.917203707078
326,107.860610446397
327,107.802246879057
328,107.745236540852
329,107.734164170434
330,107.837558980315
331,107.794606145639
332,107.760720175398
333,107.33034738235
334,107.33034738235
335,107.33034738235
336,107.33034738235
337,107.33034738235
338,107.33034738235
339,107.33034738235
340,107.273202582613
341,107.183434927674
342,107.17606783289
343,107.031813065545
344,107.031813065545
345,107.031813065545
346,107.031813065545
347,107.031813065545
348,107.031813065545
349,107.031813065545
350,107.031813065545
351,107.031813065545
352,107.031813065545
353,107.026797211609
354,106.947140216635
355,108.462226324028
356,108.51551663297
357,108.438448990081
358,108.582917165887
359,108.7320662007
360,110.990920715117
361,110.490508217541
362,110.217313130444
363,109.976556227562
364,110.456739446816
365,110.448442538572
366,110.373939910508
367,110.429353018176
368,110.417311834684
369,110.428103339275
370,110.393237343785
371,110.380977016308
372,111.438588343473
373,111.509322568774
374,111.599288055617
375,111.574579469326
376,111.436390190816
377,111.427829791199
378,111.565649949716
379,111.570520419584
380,111.480485508335
381,111.32566932555
382,111.429911929516
383,111.468908556887
384,111.313316456813
385,111.254821889057
386,111.163914059814
387,111.240524880765
388,111.240524880765
389,111.240524880765
390,111.475103431976
391,111.768527747245
392,112.706678381495
393,112.783473826792
394,112.757745181303
395,112.847550019813
396,112.945109181707
397,112.860136488812
398,112.794385368469
399,112.592272053362
400,112.361918290614
401,112.240927836372
402,112.164869215282
403,111.906011726201
404,111.906011726201
405,111.906011726201
406,111.906011726201
407,111.906011726201
408,111.906011726201
409,111.906011726201
410,111.906011726201
411,111.906011726201
412,111.906011726201
413,111.906011726201
414,111.906011726201
415,111.906011726201
416,111.906011726201
417,111.906011726201
418,111.906011726201
419,111.906011726201
420,111.906011726201
421,111.906011726201
422,111.906011726201
423,111.906011726201
424,111.906011726201
425,111.754396897664
426,111.806319570326
427,111.748373282374
428,111.725906292974
429,111.599957546408
430,111.599957546408
431,111.599957546408
432,111.599957546408
433,111.599957546408
434,111.599957546408
435,111.567174165445
436,111.682638612482
437,111.32139254914
438,111.201726060228
439,111.275292200741
440,111.266652635828
441,111.266652635828
442,111.266652635828
443,111.266652635828
444,111.266652635828
445,111.266652635828
446,111.266652635828
447,111.266652635828
448,111.266652635828
449,111.266652635828
450,111.266652635828
451,111.266652635828
452,111.266652635828
453,111.266652635828
454,111.266652635828
455,111.22687295103
456,111.22687295103
457,111.22687295103
458,111.22687295103
459,111.22687295103
460,111.22687295103
461,111.22687295103
462,111.22687295103
463,111.22687295103
464,111.22687295103
465,111.22687295103
466,111.22687295103
467,111.22687295103
468,111.22687295103
469,111.22687295103
470,111.22687295103
471,111.22687295103
472,111.22687295103
473,111.22687295103
474,111.22687295103
475,111.22687295103
476,111.22687295103
477,111.22687295103
478,111.22687295103
479,111.22687295103
480,111.22687295103
481,111.22687295103
482,111.22687295103
483,111.22687295103
484,111.22687295103
485,111.22687295103
486,111.22687295103
487,111.22687295103
488,111.22687295103
489,111.22687295103
490,111.22687295103
491,111.22687295103
492,111.22687295103
493,111.22687295103
494,111.22687295103
495,111.22687295103
496,111.22687295103
497,111.22687295103
498,111.216812281708
499,111.18846927581
500,111.186412684451
501,111.217841130247
502,111.173046694826
503,111.206067667844
504,111.206067667844
505,111.293550624811
506,111.632179319968
507,111.719410439703
508,111.716292695159
509,112.367383391917
510,112.719053301093
511,112.874080873988
512,112.790334246925
513,113.019134871424
514,113.041593098168
515,112.619340798329
516,112.754564883273
517,112.702951116492
518,112.659486445881
519,112.596580836628
520,112.343674211439
521,112.678277864346
522,112.752447671841
523,112.681684480038
524,112.657020537501
525,112.648097199842
526,112.568319672844
527,112.568319672844
528,112.560583074966
529,112.589424891722
530,112.527304389664
531,112.698477217913
532,112.691545115594
533,112.683556631704
534,112.589073073224
535,112.526367246865
536,112.503997596739
537,112.503997596739
538,112.503997596739
539,112.503997596739
540,112.503997596739
541,112.503997596739
542,112.503997596739
543,112.503997596739
544,112.503997596739
545,112.498021954749
546,112.492164098421
547,112.486306852107
548,112.480567342463
549,112.510208250324
550,112.499076433679
551,112.696729661535
552,112.669458285106
553,112.666755376362
554,112.789221414734
555,112.690145706832
556,112.696729661535
557,112.680741391634
558,112.761552121907
559,112.604741633817
560,112.595703666293
561,112.574816254837
562,112.408580416126
563,112.408580416126
564,112.408580416126
565,112.408580416126
566,112.408580416126
567,112.408580416126
568,112.408580416126
569,112.408580416126
570,112.408580416126
571,112.408580416126
572,112.408580416126
573,112.408580416126
574,112.408580416126
575,112.482684385511
576,112.424376387759
577,112.382146722488
578,112.310977953896
579,112.143171575918
580,111.943369630345
581,111.943369630345
582,111.943369630345
583,111.943369630345
584,111.943369630345
585,111.943369630345
586,111.943369630345
587,111.943369630345
588,111.943369630345
589,111.943369630345
590,111.943369630345
591,111.943369630345
592,112.090298584205
593,112.087507410028
594,112.087507410028
595,112.087507410028
596,112.087507410028
597,112.087507410028
598,112.087507410028
599,112.087507410028
600,112.087507410028
601,112.087507410028
602,112.087507410028
603,112.087507410028
604,112.087507410028
605,112.087507410028
606,112.087507410028
607,112.087507410028
608,112.087507410028
609,112.087507410028
610,112.087507410028
611,112.087507410028
612,112.087507410028
613,112.087507410028
614,112.087507410028
615,112.087507410028
616,112.087507410028
617,112.087507410028
618,112.087507410028
619,112.087507410028
620,112.087507410028
621,112.087507410028
622,112.087507410028
623,112.087507410028
624,112.087507410028
625,112.087507410028
626,112.087507410028
627,112.087507410028
628,112.087507410028
629,112.087507410028
630,112.087507410028
631,112.087507410028
632,112.087507410028
633,112.087507410028
634,112.087507410028
635,112.087507410028
636,112.087507410028
637,111.627614544992
638,111.627614544992
639,111.627614544992
640,111.627614544992
641,111.627614544992
642,111.627614544992
643,111.627614544992
644,111.627614544992
645,111.627614544992
646,111.627614544992
647,111.627614544992
648,111.627614544992
649,111.627614544992
650,111.627614544992
651,111.627614544992
652,111.627614544992
653,111.627614544992
654,111.627614544992
655,111.627614544992
656,111.627614544992
657,111.627614544992
658,111.627614544992
659,111.627614544992
660,111.627614544992
661,111.627614544992
662,111.627614544992
663,111.627614544992
664,112.541457726796
665,113.288276407121
666,112.948447079049
667,112.836342599064
668,112.556713509601
669,112.601600786936
670,113.117706986605
671,113.730919638305
672,113.354149343746
673,113.579266888356
674,113.419754646343
675,113.290337355592
676,113.258057775493
677,112.10823150273
678,112.276442640197
679,113.348188988573
680,113.348188988573
681,113.348188988573
682,113.821478538151
683,113.729041422671
684,114.252751366703
685,114.639248483661
686,114.643935135303
687,114.263109487696
688,114.474989429586
689,114.67007024297
690,114.942206514757
691,114.844648469376
692,114.485621582598
