Date,BRLUSDCR Curncy,ARSUSDCR Curncy,MXNUSDCR Curncy,COPUSDCR Curncy,CLPUSDCR Curncy,PENUSDCR Curncy,TRYUSDCR Curncy,RUBUSDCR Curncy,ZARUSDCR Curncy,CNYUSDCR Curncy,KRWUSDCR Curncy,IDRUSDCR Curncy,INRUSDCR Curncy,PHPUSDCR Curncy,THBUSDCR Curncy,CZKEURCR Curncy,HUFEURCR Curncy,PLNEURCR Curncy
2000-01-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-12,99.73647845655074,100.01557257392673,99.56572534301691,99.78511067321907,100.58483610225836,100.01332856379825,99.99164869379085,99.50687918220834,100.29692487036985,100.00754334630292,100.15170484665967,100.84433169038928,99.97056823312245,100.10441501146998,100.32915354080725,99.68133663842195,99.88158097365573,100.28686256019877
2000-01-13,100.59077051897447,100.04136763503237,100.01438623727175,99.22504232589532,101.08151484936229,100.29832461913139,99.83386576288777,99.86545448046792,100.4906420928716,100.01247911610606,100.94472454385152,100.99813813254235,99.95275677549752,100.22136766033974,100.5941969022289,99.47918638893825,100.02079855843864,100.57273345221331
2000-01-14,101.15530812412143,100.05703574622247,100.52612524879495,99.0495841474266,101.36680329148548,100.71082406785806,99.34405759968865,99.89417624697145,100.28355847749147,100.02290942210517,102.52728619391902,102.45884112115273,100.03857561678124,100.26426988831707,100.57617231505338,99.72163075635459,100.00026551351198,101.6248933956702
2000-01-17,101.87989300150906,100.07279939467591,100.97454900727058,98.95079764623166,102.0685233486889,100.70964801811115,99.12959929946324,99.88804893678403,100.30990936630886,100.03697170965754,102.26927516289001,100.33166900609267,100.02019266853735,100.36770539686519,100.62573992978602,99.71318355572774,99.97167855872185,102.04049251651128
2000-01-18,101.89844152643761,100.08856304312934,101.19579668926835,98.34065799946382,101.33131136928044,100.66525214016553,99.21651774855272,100.05654996693805,100.02482330105987,100.04526007781753,101.7246792015851,100.3465608910082,100.05743480720764,100.28816975961038,100.88934951722781,99.84863004853743,100.05425326094843,101.62940097832573
2000-01-19,102.02761875361861,100.09324436903371,101.08023251953604,99.09454400171911,101.17914365589698,100.44846697015284,99.36181426046346,100.33074709782505,99.64674533107123,100.04907831483507,101.09689935595935,99.50070182780702,100.00666739055477,100.06014147940203,100.77505724854676,99.63793550416679,100.05717390958027,101.36471572479225
2000-01-20,102.58645931182325,100.09324436903371,100.81337572267128,98.44601635871079,101.21349067738572,100.49051074860466,99.36003048632169,100.37708488111743,99.82633236681583,100.0593223653699,101.8162284708828,100.3755046057927,99.92161053676304,100.20207145277915,101.03743788686292,99.29412472922839,99.63730854263173,101.41862641335253
2000-01-21,103.18080704631964,100.13356109416918,100.74421112040332,98.43965313107311,101.39573805504267,100.70523783156027,99.12311284803866,100.47639836707182,99.33645406782297,100.06593443435146,101.63444583554218,99.56584427823233,100.02390735756073,100.33097403729553,101.17999598543285,99.8341630037857,100.13620843164708,102.28813910760681
2000-01-24,103.15907877426046,100.10365793073932,100.56849350801282,98.20567412137908,100.67798938781118,100.81960866944671,98.9257625634456,100.60226353050507,98.85784172854191,100.08055548829664,101.82036416682645,99.57798689208653,99.88293967154529,100.62247410684026,101.05054667753603,100.38080368802838,100.21462342218595,102.7012139821608
2000-01-25,102.91476820305864,100.11932604192938,100.11390421927786,98.04586322398666,101.22785397728103,100.78961940090065,98.9446543532197,100.49899282338795,98.99771148259074,100.09173081615282,101.68426217304503,99.3197845182437,99.94494640370478,100.74971153638953,100.96206234049264,100.16739050437555,100.28392244881341,101.53474174255932
2000-01-26,102.94325343777038,100.13499415311948,100.2167421021929,97.00364998909906,101.24159278587652,101.16693536136579,98.96362722363664,100.2906642770157,98.83254105630783,100.10467557091955,101.63942746929247,97.86878034698854,100.01743046387894,100.64235801615395,100.25459729385402,100.44216726039808,100.23276684550476,102.08124106371739
2000-01-27,102.89330490992705,100.14512110303502,100.03122287759525,96.36774448615894,101.18663755149451,101.53043273730478,98.51889989783838,100.42482683966105,97.98129277842435,100.11342957774023,101.72806295281171,98.47453640416728,100.05762530408062,100.9068238050554,100.62143860784643,100.5879057447761,100.19134673763548,102.64387753078228
2000-01-28,101.86068202926162,100.19088345218168,99.58588188424929,96.8360154511685,101.15197828435586,101.04942839082092,97.99130815509105,100.25185797916203,96.02932204700578,100.16455670268228,101.95327039556052,97.76262793656515,99.94666087556172,100.74765458025361,100.05182068812957,100.40905811771125,100.3378216917459,103.08480926614752
2000-01-31,102.75498590974554,100.16652145002638,99.41048045289772,96.49396588684095,101.09181895580892,101.27973813292301,98.17268555305105,100.28032444107441,96.60770496170052,100.17945713982384,101.86266105715909,98.16967279092252,99.97171121436041,100.48984941122079,100.25838655365796,100.21875336795716,100.22188079151348,103.01809704284548
2000-02-01,102.8009597536756,100.19241204839535,99.6633462387894,96.97485899191871,100.97899419431255,101.73281129791789,97.80093080577942,100.55477687655257,97.18675619603914,100.19277440551913,101.68097241490806,97.65731558118826,99.99657105628611,100.57888622681762,100.17082392845877,100.28487455907069,100.504210159255,102.68300334823239
2000-02-02,102.73180025358482,100.20817569684878,99.88696527857921,96.97329426381107,101.36982166610116,101.68596531633287,97.90171404478895,100.05769883759818,96.98272775617407,100.20348409471463,101.36186587562082,95.31661674703193,100.03219397153596,100.27210591169194,100.00399408465822,100.30769171018916,100.31091632253164,102.39659154629919
