,Carry_BRLUSD Curncy,Carry_ARSUSD Curncy,Carry_MXNUSD Curncy,Carry_COPUSD Curncy,Carry_CLPUSD Curncy,Carry_PENUSD Curncy,Carry_TRYUSD Curncy,Carry_RUBUSD Curncy,Carry_ZARUSD Curncy,Carry_CNYUSD Curncy,Carry_KRWUSD Curncy,Carry_IDRUSD Curncy,Carry_INRUSD Curncy,Carry_PHPUSD Curncy,Carry_THBUSD Curncy,Carry_CZKEUR Curncy,Carry_HUFEUR Curncy,Carry_PLNEUR Curncy
2014-06-20,10.386500000000002,41.116949999999996,2.353675,3.66183475,3.6194499999999996,4.072175,8.037450000000002,8.41945,5.998275,1.9325250000000003,1.57945,4.87945,5.58195,0.29445,1.4848750000000002,-0.266425,1.37645,2.21975
2014-06-23,10.361500000000001,39.93445,2.3199,3.729913,3.6819499999999996,4.1499749999999995,8.0157,8.43445,6.0196499999999995,2.08575,1.5694499999999996,4.879449999999999,5.42695,0.11945000000000003,1.488875,-0.268725,1.3742249999999998,2.2187750000000004
2014-06-24,10.326975000000001,36.82655,2.29865,3.7771004999999995,3.73905,4.17825,7.9380500000000005,8.40155,6.0488,2.0416749999999997,1.5715500000000004,4.90155,5.34405,0.13154999999999997,1.4942,-0.280725,1.367725,2.2331000000000003
2014-06-25,10.384775,34.5634,2.2847750000000002,3.8238387499999997,3.8108999999999997,4.1130249999999995,7.82915,8.3559,6.039425,2.0814000000000004,1.5433999999999999,4.7734,5.4059,0.17840000000000003,1.514475,-0.298025,1.3679,2.234575
2014-06-26,10.385537500000002,32.6548375,2.2936125,3.6449784999999997,3.7748375000000003,4.0843375,7.7155875,8.334837499999999,6.0275625,2.0890625,1.5323375,5.0873375,5.6173375,0.41733750000000003,1.5229625,-0.313875,1.3651250000000001,2.2617749999999996
2014-06-27,10.389412499999999,31.736462499999995,2.3070625,3.34492375,3.7914625,4.088712500000001,7.5489625,8.306462499999999,6.0336125,2.0584874999999996,1.5089625000000002,5.2839625,5.8289625,0.6489624999999999,1.5219375000000002,-0.331275,1.348125,2.2627249999999997
2014-06-30,10.4476625,32.7959625,2.3333875,3.1084987500000003,3.7759625,4.2176125,7.392962499999999,8.2959625,6.0427124999999995,2.0153375000000002,1.5284625000000003,5.7159625,5.7559625,0.5509624999999999,1.5101625000000003,-0.3393,1.345,2.267875
2014-07-01,10.4883375,34.8341875,2.3695875,2.82708525,3.7641875000000007,4.2735625,7.322187500000001,8.359187499999999,6.0752875,1.8447874999999998,1.5291875,5.699187499999999,5.7616875,0.3866875000000001,1.4831874999999999,-0.344775,1.3312,2.273625
2014-07-02,10.550025000000002,35.937200000000004,2.40665,2.62350775,3.7672,4.301799999999999,7.295699999999999,8.4122,6.1137500000000005,1.72285,1.4996999999999998,5.6222,5.7022,0.27969999999999995,1.4461749999999998,-0.3384,1.34405,2.2763
2014-07-03,10.593325,37.302074999999995,2.451025,2.7506985000000004,3.777075,4.25075,7.293825,8.442075,6.143075,1.6892749999999999,1.5095750000000001,5.634575,5.432075,0.337075,1.398375,-0.3193,1.3616249999999999,2.2814500000000004
2014-07-04,10.536375,37.6902,2.460275,2.873211,3.8377000000000003,4.150024999999999,7.3374500000000005,8.4602,6.16155,1.8099500000000002,1.4577,5.552699999999999,5.2951999999999995,0.32269999999999993,1.3574249999999999,-0.29667499999999997,1.36295,2.277875
2014-07-07,10.543025,36.4221,2.4625000000000004,3.0640735,3.8646,4.270325000000001,7.36985,8.4246,6.174925000000001,2.1273,1.3996,5.8370999999999995,5.1296,0.29710000000000003,1.3387250000000002,-0.274725,1.380025,2.2758000000000003
2014-07-08,10.5816,36.066525,2.4597750000000005,3.3785485000000004,3.859025000000001,4.2302,7.430275,8.379025,6.177099999999999,2.3485,1.436525,5.616524999999999,4.906524999999999,0.3990250000000001,1.335325,-0.259325,1.3881999999999999,2.2744000000000004
2014-07-09,10.551175,34.281775,2.4484500000000002,3.45595,3.8067749999999996,4.161575,7.476275,8.364275,6.154475,2.4155,1.4467750000000001,5.561775,5.044275,0.216775,1.3896,-0.252775,1.3873499999999999,2.28075
2014-07-10,10.576725,32.833774999999996,2.4421500000000003,3.511575,3.691275,4.048150000000001,7.486025000000001,8.368775,6.130125,2.4677000000000002,1.478775,5.291275000000001,5.188775,0.20877500000000002,1.3859000000000001,-0.26260000000000006,1.3952499999999999,2.283225
2014-07-11,10.4557,31.71615,2.4396250000000004,3.5117160000000003,3.6336500000000003,3.9196749999999994,7.49915,8.403649999999999,6.110774999999999,2.591725,1.56115,5.06865,5.25115,0.25365,1.359575,-0.27175,1.3971999999999998,2.2957
2014-07-14,10.374500000000001,31.378774999999997,2.4402749999999997,3.5003800000000003,3.603775,3.9741,7.482525,8.441275,6.098025000000001,2.7665499999999996,1.5487749999999998,5.236275,5.498775,0.12127499999999997,1.3304500000000001,-0.28227500000000005,1.38255,2.30735
2014-07-15,10.3573,32.024025,2.4554,3.59068575,3.5915249999999994,4.032575,7.459525,8.409025000000002,6.105124999999999,2.9447000000000005,1.546525,5.499025,5.416525,0.24402499999999996,1.2408249999999998,-0.294725,1.3709250000000002,2.31225
