Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.801,0.767,2.7,3,3,3,3,3
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.415,1.074,1.5,2,2,2,2,2
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.601,0.202,1.002,1.2,1.551,1.77,1.881,2.022
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.541,0.05,0.8,0.7,1.1,1.8,1.9,1.9
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0,2.01,2.1,2,2,2,2,2
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.301,0.5,1.2,1.6,1.8,2,2,2
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.932,2.4,3,3,3,3,3,3
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.54,-0.221,1.377,1.358,1.761,1.831,2,2
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.344,1.695,2.866,4.2,4,4,4,4
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.388,1.115,0.783,0.722,0.976,1.218,1.331,1.555
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.388,13.969,29.764,11.718,15.71,8.274,7.191,7.03
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.014,-0.931,2.356,2,2,2,2,2
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.603,1.6,1.713,1.913,2.021,2.049,2.081,2.107
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9,9,9,9,9,9,9,9
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.171,2.353,4.545,2.545,2.5,2.5,2.5,2.5
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.028,6.674,9.216,7.5,7.5,7.5,7.5,7.5
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.581,3.931,3.5,3.5,3,3,3,3
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.249,1.1,0.53,1.571,1.7,1.9,2,2
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.281,0.649,1.106,1.478,1.65,1.691,1.772,1.853
Gabon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.151,4.071,2.5,2.5,2.5,2.5,2.54,2.54
The Gambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.667,7.875,7.629,6.43,5.236,4.736,4.736,4.736
