Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.889,22.900,17.000,12.000,8.200,6.300,3.600,3.400
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.208,0.777,0.370,3.557,1.348,3.293,1.723,3.058
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.801,0.767,3.000,3.000,3.000,3.000,3.000,3.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.415,1.200,1.700,2.000,2.000,2.000,2.000,2.000
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.601,0.202,0.803,1.200,1.500,1.719,1.922,1.990
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.571,0.030,1.500,1.400,1.600,1.800,1.900,1.900
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.000,2.010,2.300,1.800,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.301,0.500,0.650,1.400,1.800,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.932,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.540,-0.221,1.377,1.358,1.761,1.831,2.000,2.000
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.344,1.695,4.300,4.000,4.000,4.000,4.000,4.000
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.388,1.115,0.309,0.722,0.802,1.055,1.195,1.424
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.388,13.969,26.138,11.406,9.064,7.765,7.227,7.034
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.014,-0.931,2.694,2.000,2.000,2.000,2.000,2.000
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.603,1.600,1.500,1.500,1.600,1.800,1.900,1.900
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.171,2.353,3.354,2.300,2.600,2.700,2.600,2.600
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.028,6.674,6.886,7.500,7.500,7.500,7.500,7.500
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.581,3.931,4.000,3.500,3.000,3.000,3.000,3.000
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.249,1.100,1.451,1.693,1.800,1.900,2.000,2.000
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.271,0.663,1.393,1.276,1.650,1.691,1.772,1.853
Gabon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.151,4.071,2.500,2.500,2.500,2.500,2.540,2.540
The Gambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.667,7.875,6.964,5.420,4.436,3.636,3.336,2.836
Georgia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.879,1.832,5.418,2.982,3.000,3.000,3.000,3.000
Germany,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.201,1.702,1.628,1.793,1.991,2.155,2.318,2.399
Ghana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,17.692,15.362,10.048,8.000,6.000,6.000,6.000,6.000
Greece,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.392,0.290,1.296,1.223,1.637,1.628,1.626,1.630
Grenada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.008,1.399,3.163,1.807,1.880,1.898,1.898,1.898
Guatemala,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.066,4.230,4.000,4.000,4.000,4.000,4.000,4.000
Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.324,8.701,8.100,6.000,5.000,5.000,5.000,5.000
Guinea-Bissau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.441,1.558,2.000,2.250,2.500,2.500,2.500,2.500
