Country,Subject Descriptor,Subject Notes,Units,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.487,0.077,2.884,4.789,5.000,5.000,5.200,5.400
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.660,1.956,2.230,2.680,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.253,4.362,4.300,4.000,4.000,4.000,4.000,4.000
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.485,14.274,19.194,14.000,12.000,10.000,9.000,9.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.327,0.900,1.450,2.171,2.549,2.549,2.549,2.500
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,23.915,,24.953,20.000,15.000,10.000,5.000,5.000
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.578,-0.129,3.500,4.000,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.622,1.690,2.473,2.218,2.778,2.269,2.676,2.269
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.800,1.200,1.800,1.800,1.900,2.000,2.000,2.000
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.123,7.590,18.000,1.000,9.000,4.000,4.000,4.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.207,2.020,0.788,1.149,1.788,1.775,1.617,1.391
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.502,0.732,3.130,2.347,2.373,2.372,2.365,2.366
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.108,6.463,7.026,7.022,6.566,6.106,5.799,5.650
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.312,-0.679,0.377,1.942,2.554,2.703,2.558,2.383
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.220,11.970,14.467,11.305,10.065,9.505,9.287,9.287
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.391,1.450,0.563,1.575,1.313,1.441,1.577,1.458
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.173,-0.700,0.765,2.259,2.172,2.124,2.054,1.971
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.761,2.301,2.235,2.356,2.806,2.795,2.794,2.799
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.914,7.421,7.573,6.884,6.650,6.134,5.644,5.644
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.198,2.952,5.012,5.012,5.012,5.012,5.012,5.012
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.473,-1.246,-0.340,1.480,1.844,1.986,2.119,1.908
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.727,3.100,3.600,3.600,4.300,4.000,4.500,4.500
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.408,10.673,7.146,6.041,5.510,4.985,4.476,4.472
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.295,-0.983,0.200,0.100,0.000,0.100,0.100,0.000
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.961,-0.887,1.100,1.300,1.800,2.000,2.100,2.100
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.149,1.274,1.637,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.745,7.132,10.711,2.573,7.271,3.132,6.596,3.679
Cabo Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.415,-0.538,1.000,1.500,2.000,2.000,2.000,2.000
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.040,2.848,2.358,2.939,3.042,3.042,3.042,3.042
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.586,2.750,2.200,2.200,2.200,2.200,2.200,2.200
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.920,1.300,1.396,2.010,1.999,2.002,2.000,1.998
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.445,6.491,2.475,2.549,2.502,3.565,7.671,-1.662
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.718,-0.951,3.000,3.000,3.000,3.000,3.000,3.000
Chile,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.655,4.405,3.527,3.000,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.500,1.600,1.800,2.000,2.200,2.600,3.000,3.000
Colombia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.659,6.771,5.291,3.325,3.000,3.000,3.041,3.041
Comoros,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.000,3.353,2.188,2.230,2.239,2.199,2.225,2.221
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.200,0.889,2.450,2.500,2.500,2.500,2.500,2.900
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.476,2.178,2.258,2.477,2.425,2.385,2.265,2.095
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.124,-0.801,3.000,3.000,3.000,3.000,3.000,3.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.854,1.326,2.100,2.000,2.000,2.000,2.000,2.000
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.464,-0.187,0.800,1.500,1.800,1.900,2.000,2.000
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.822,-0.449,0.600,1.300,1.500,1.800,1.900,1.900
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.081,0.081,1.450,2.630,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.307,0.535,0.800,1.400,1.700,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.762,1.932,3.000,3.000,3.000,3.000,3.000,3.000
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.464,-0.111,-0.147,1.838,1.820,2.243,2.150,2.460
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.582,2.344,3.340,4.000,4.000,4.000,4.000,4.000
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.667,3.388,0.803,0.000,0.800,0.800,0.200,0.400
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.205,11.388,10.233,10.401,8.000,7.000,6.973,6.999
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.477,1.014,1.850,2.000,2.000,2.000,2.000,2.000
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.300,2.000,2.000,2.825,2.827,2.827,2.827,2.827
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.040,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.061,-0.171,2.100,2.863,2.820,2.710,2.710,2.710
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.114,10.028,14.017,8.500,8.500,8.500,8.500,8.500
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.081,2.800,3.300,2.800,2.800,2.800,2.800,2.800
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.552,-0.249,0.833,1.500,1.700,1.900,2.000,2.000
