Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,23.600,55.000,29.500,15.800,10.400,5.300,5.000,5.000
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.035,1.786,1.763,1.894,2.148,2.569,3.000,3.000
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.767,2.573,3.000,3.000,3.000,3.000,3.000,3.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.228,1.055,2.000,2.000,2.000,2.000,2.000,2.000
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.202,1.207,1.169,1.400,1.500,1.700,1.800,1.900
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.050,-0.543,2.179,2.130,1.800,1.900,2.000,2.000
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.010,2.365,2.200,2.000,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.499,0.993,1.600,1.800,2.000,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.084,-1.033,1.000,2.000,2.500,2.500,2.500,2.500
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.221,1.377,1.358,1.761,1.831,2.000,2.000,2.000
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.695,4.204,3.662,3.769,3.968,3.988,3.958,3.928
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.115,-0.200,2.549,1.437,1.583,1.650,1.686,1.767
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.969,29.764,10.370,15.171,8.314,7.410,6.996,7.039
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.931,2.035,2.051,2.000,2.000,2.000,2.000,2.000
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.000,-0.225,1.303,4.008,3.691,3.636,2.517,2.303
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.353,3.760,1.760,2.500,2.300,2.200,2.100,2.100
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.674,13.628,10.000,7.999,8.000,8.000,8.000,8.000
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.931,2.814,3.300,3.000,3.000,3.000,3.000,3.000
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.100,0.505,1.711,1.693,1.900,2.000,2.000,2.000
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.680,1.208,1.393,2.015,1.428,1.934,1.772,1.934
Gabon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.071,3.000,2.800,2.500,2.500,2.540,2.540,2.540
The Gambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.875,6.945,5.139,4.819,4.819,4.819,4.819,4.819
Georgia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.832,6.716,3.037,3.000,3.000,3.000,3.000,3.000
Germany,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.603,1.578,1.560,1.907,2.281,2.498,2.651,2.719
Ghana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.362,11.821,8.000,8.000,8.000,6.000,6.000,6.000
Greece,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.290,0.967,0.900,1.215,1.525,1.716,1.720,1.660
Grenada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.919,0.530,1.789,1.872,1.891,1.891,1.891,1.891
Guatemala,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.232,5.687,4.200,3.451,3.451,3.687,3.823,3.830
Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.701,9.546,8.000,8.000,7.900,7.800,7.800,7.800
Guinea-Bissau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.558,-1.264,2.000,2.300,2.450,2.600,3.000,3.000
Guyana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.454,2.298,2.795,3.042,3.103,3.536,3.536,3.103
Haiti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.495,15.376,8.000,5.000,5.000,5.000,5.000,5.000
Honduras,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.315,4.728,4.984,4.500,4.500,4.500,4.500,4.500
Hong Kong SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.411,1.481,2.200,2.100,2.200,2.400,2.600,2.600
Hungary,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.773,2.140,3.196,3.247,2.990,3.041,3.041,3.042
Iceland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.893,1.874,2.700,2.500,2.600,2.500,2.500,2.500
India,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.569,4.676,5.209,4.887,4.781,4.815,4.872,4.825
Indonesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.025,3.607,3.500,3.600,3.505,3.254,3.004,3.004
Islamic Republic of Iran,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.827,10.174,11.217,13.412,11.601,11.000,10.500,9.800
Iraq,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.000,0.368,2.000,2.000,2.000,2.000,2.000,2.000
Ireland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.300,-0.100,1.791,1.428,1.758,1.888,1.898,1.876
Israel,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.202,0.400,1.025,1.510,1.998,1.998,1.998,1.998
Italy,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.497,0.692,1.638,1.309,1.398,1.528,1.609,1.623
Jamaica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.725,5.246,5.051,5.000,5.000,5.000,5.000,5.000
Japan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.321,0.592,0.772,2.062,0.802,1.205,1.205,1.407
Jordan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.843,2.467,2.498,2.457,2.494,2.520,2.520,2.520
Kazakhstan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.500,7.100,6.030,5.190,4.350,4.000,4.000,4.000
Kenya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.350,4.496,5.061,4.996,1.469,5.000,5.000,5.000
Kiribati,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.748,2.200,2.500,2.500,2.500,2.500,2.500,2.500
Korea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.337,1.457,2.080,2.000,2.000,2.000,2.000,2.000
Kosovo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.295,0.680,1.816,2.016,2.206,2.206,2.197,0.357
Kuwait,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.513,1.507,2.500,3.700,3.200,3.000,2.700,2.700
Kyrgyz Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.503,3.656,5.523,5.164,5.108,4.999,4.999,5.009
Lao P.D.R.,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.487,0.148,2.600,2.900,3.100,3.100,3.100,3.100
Latvia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.105,2.160,3.022,2.492,2.516,2.414,2.413,2.280
Lebanon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.142,5.011,3.500,2.500,2.500,2.500,2.500,2.500
Lesotho,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.448,6.000,5.500,5.500,5.000,5.000,5.000,5.000
Liberia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.518,13.894,11.000,10.000,9.000,8.000,7.000,5.500
