Country,Subject Descriptor,Subject Notes,Units,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.041,0.755,3,4,5,5,5,5
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.798,1.799,2.2,2.6,3,3,3,3
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.933,2.7,4.2,9.4,5.5,13.1,10.8,11.8
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,23.667,18.604,14.996,9,7,6,6,6
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.356,2.229,2.008,2.008,2.008,2.008,2.008,2.008
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,24.796,47.646,30.5,21.2,16.3,10.1,7,5
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.663,1.904,2.607,3.245,3.464,3.464,3.464,3.464
Aruba,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.313,3.731,1.004,2.682,2.073,2.132,2.156,2.162
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.004,1.786,2.32,2.32,2.472,2.549,2.523,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.285,1.707,1.9,2,2.1,2.1,2,2
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10,2.3,2.5,2.5,2.5,2.5,2.5,2.5
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.812,2.806,2.43,2.331,2.236,2.208,2.184,2.132
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.422,1.9,3.8,3.2,2.8,2.3,2.1,2.2
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.743,5.444,5.378,5.455,5.5,5.5,5.5,5.5
