Country,Subject Descriptor,Subject Notes,Units,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.041,0.755,4.500,4.500,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.798,1.799,1.800,2.200,2.600,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.933,2.702,3.900,3.200,8.200,5.900,11.000,5.400
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,23.667,18.604,17.000,12.000,8.000,6.000,6.000,6.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.356,1.741,2.028,2.008,2.008,2.008,2.008,2.008
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,24.796,47.646,57.305,39.200,29.600,25.000,20.000,15.000
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.744,1.940,1.493,3.299,3.766,4.124,4.250,4.050
Aruba,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.313,4.572,1.845,2.672,2.130,2.156,2.169,2.200
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.004,1.786,1.800,1.711,2.117,2.422,2.513,2.544
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.305,1.725,1.600,1.900,1.900,2.000,2.000,2.000
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.000,2.300,2.800,3.000,3.200,3.300,3.500,3.500
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.812,1.963,2.845,2.444,2.199,2.170,2.165,2.179
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.422,1.900,2.000,2.800,2.500,2.300,2.100,2.200
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.743,5.488,5.459,5.518,5.525,5.500,5.500,5.500
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.567,0.649,1.400,2.304,2.370,2.315,2.361,2.322
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.590,5.642,4.994,4.517,4.193,3.955,4.008,3.955
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.059,2.198,1.061,1.350,1.564,1.600,1.799,1.840
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.033,-0.108,2.406,0.813,3.177,0.859,3.131,0.903
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.957,-0.133,0.549,1.119,2.117,2.117,2.117,2.117
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.045,3.213,3.091,3.934,3.953,3.851,3.827,3.770
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.713,1.507,2.280,4.000,4.000,4.500,4.500,4.500
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.716,1.582,1.167,1.427,1.324,1.412,1.558,1.942
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.184,3.539,2.746,3.484,3.650,4.000,4.000,4.000
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.947,3.745,3.633,3.873,3.726,3.488,3.487,3.488
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.024,0.048,0.100,0.200,0.200,0.200,0.200,0.200
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.796,2.310,2.480,2.200,2.200,2.200,2.200,2.200
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.074,0.336,2.000,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.546,5.315,8.974,8.974,8.974,8.974,8.974,8.974
Cabo Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.269,1.003,1.010,1.600,1.600,1.800,1.800,1.800
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.231,1.632,2.310,2.526,2.731,3.000,3.000,3.000
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.786,1.975,2.270,2.200,2.000,1.986,1.986,1.986
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.833,2.054,2.232,1.926,2.061,2.190,2.089,1.957
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.171,4.605,3.000,2.500,2.500,2.499,2.500,2.500
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.112,4.382,9.121,-6.390,11.550,-3.320,8.391,-6.378
Chile,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.274,2.140,2.590,2.900,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.800,1.900,2.200,2.432,2.800,2.900,3.000,3.000
Colombia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.116,3.175,3.934,3.067,3.042,3.042,3.042,3.042
Comoros,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.420,0.927,4.778,0.561,1.455,1.869,1.908,1.910
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,54.709,7.228,5.500,5.000,5.000,5.000,5.000,5.000
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.785,0.897,1.864,2.509,2.709,3.000,3.000,3.000
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.573,2.020,3.230,3.000,3.000,3.000,3.000,3.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.055,1.053,1.000,2.000,2.000,2.000,2.000,2.000
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.207,0.895,1.183,1.300,1.356,1.288,1.339,1.462
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.341,1.068,1.238,1.332,1.800,2.000,2.000,2.000
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.365,2.021,2.300,2.000,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.896,0.691,1.150,1.400,1.700,1.900,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.843,1.972,2.000,2.000,2.000,2.000,2.000,2.000
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.377,1.358,1.761,1.831,2.000,2.000,2.000,2.000
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.204,1.171,3.000,3.979,4.040,3.970,3.970,3.970
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.197,0.266,0.548,1.144,1.533,1.266,1.134,1.097
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,29.764,14.384,9.377,8.748,7.410,7.325,7.060,7.003
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.035,0.438,1.400,1.200,1.000,1.200,0.800,1.200
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.225,2.590,1.600,1.698,1.698,1.797,1.896,1.996
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-18.163,-29.278,-0.109,0.000,2.000,2.000,2.000,2.000
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.760,3.319,2.500,2.400,2.300,2.200,2.100,2.100
Eswatini,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.706,5.251,2.311,4.434,5.200,7.500,6.500,7.500
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.504,10.581,14.500,10.000,8.000,8.001,8.001,8.001
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.814,4.876,3.500,3.000,3.000,3.000,3.000,3.000
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.505,1.319,1.132,1.259,1.450,1.550,1.650,1.760
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.268,1.970,1.046,1.357,1.483,1.640,1.691,1.691
Gabon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.057,6.253,3.000,3.000,3.000,2.500,2.500,2.500
The Gambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.945,6.411,7.035,5.995,5.513,4.984,4.984,4.984
Georgia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.716,1.515,5.440,3.042,3.042,3.021,2.982,3.015
Germany,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.481,1.751,1.777,1.681,1.808,1.977,2.084,2.133
Ghana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.821,9.425,9.325,9.000,8.600,8.200,8.000,8.000
Greece,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.967,0.632,0.939,0.938,1.202,1.442,1.754,1.754
Grenada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.531,1.406,0.985,1.881,1.911,1.911,1.911,1.911
Guatemala,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.677,2.313,3.798,3.907,4.193,4.244,4.253,4.345
Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.546,9.942,8.600,8.100,8.000,7.900,7.800,7.800
Guinea-Bissau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.264,5.850,1.458,-1.354,-1.918,2.500,2.500,2.500
Guyana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.510,1.637,2.732,3.487,3.536,3.536,3.103,2.549
Haiti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.376,13.255,19.750,14.998,12.000,9.000,7.000,5.000
Honduras,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.728,4.224,4.412,4.191,4.000,4.000,4.000,4.000
Hong Kong SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.481,2.408,3.000,2.600,2.600,2.500,2.500,2.500
Hungary,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.140,2.749,3.215,3.447,3.201,3.038,2.987,3.038
Iceland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.874,3.736,2.600,2.600,2.500,2.500,2.500,2.500
India,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.594,2.465,3.878,4.127,4.035,4.048,3.978,3.977
Indonesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.607,3.131,3.390,3.139,3.115,2.994,2.984,2.984
Islamic Republic of Iran,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.310,47.529,31.136,30.000,28.000,26.000,25.000,25.000
Iraq,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.200,-0.096,0.281,1.200,1.500,2.000,2.000,2.000
Ireland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.501,0.798,1.438,1.500,1.800,1.950,2.000,2.000
Israel,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.400,0.797,1.091,1.775,1.877,2.000,2.000,2.000
Italy,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.989,1.175,0.740,1.036,1.139,1.324,1.425,1.498
Jamaica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.246,2.413,4.733,4.500,4.700,4.800,5.000,5.000
Japan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.560,0.832,1.593,0.198,1.407,1.185,1.205,1.286
Jordan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.240,3.649,2.498,2.498,2.520,2.520,2.520,2.520
Kazakhstan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.100,5.300,5.700,4.740,4.600,4.360,3.980,3.980
Kenya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.496,5.711,6.207,6.249,4.011,5.011,5.011,5.011
Kiribati,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.499,1.401,1.652,2.219,2.363,2.491,2.519,2.561
Korea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.408,1.321,0.700,0.891,1.400,1.800,1.900,2.000
Kosovo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.496,2.893,1.559,1.659,1.968,1.940,0.195,0.373
Kuwait,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.044,0.442,1.800,3.000,5.600,3.000,2.300,2.200
Kyrgyz Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.656,0.486,3.956,5.056,4.952,4.952,4.952,4.952
Lao P.D.R.,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.148,1.482,2.900,3.100,3.100,3.100,3.100,3.100
Latvia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.160,2.549,2.073,2.260,2.529,2.357,2.194,2.187
