Country,Subject Descriptor,Subject Notes,Units,2011,2012,2013,2014,2015,2016,2017,2018
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.434,2.722,6.000,6.000,6.000,6.000,5.500,5.500
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.770,7.510,4.643,2.695,2.770,2.720,2.600,2.574
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.731,4.551,5.000,5.000,5.000,5.000,5.000,5.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.967,3.448,1.954,2.500,2.500,2.500,2.500,2.500
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.049,4.679,2.290,2.500,2.700,2.900,3.000,3.000
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.155,1.451,1.000,1.200,1.600,1.700,1.700,1.800
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.424,2.367,1.900,2.000,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.579,1.964,0.800,1.900,1.800,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.620,2.526,1.126,2.288,2.297,2.364,2.367,1.636
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.049,3.617,1.466,1.605,1.769,1.947,1.999,1.999
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.760,3.907,5.000,4.500,4.000,4.000,4.000,4.000
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.411,4.163,2.354,2.631,2.702,2.702,2.702,2.702
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.783,7.257,9.754,10.399,10.938,11.226,12.169,12.538
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.052,0.783,2.300,2.600,2.600,2.600,2.600,2.600
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.919,2.517,5.217,5.071,4.883,4.907,4.686,4.310
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.256,12.256,12.256,12.256,12.256,12.256,12.256,35.569
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.135,3.760,3.200,2.800,2.500,2.500,2.500,2.500
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,35.919,14.920,8.125,8.000,8.000,8.000,8.000,8.000
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.704,1.487,2.900,3.000,3.000,3.000,3.000,2.900
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.606,3.452,2.410,2.426,2.200,2.000,2.000,2.000
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.651,1.508,1.010,1.460,1.474,1.605,1.693,1.802
Gabon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.302,2.167,-2.234,2.500,2.500,2.500,2.500,2.500
The Gambia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.382,4.908,7.000,5.000,5.000,5.000,5.000,5.000
Georgia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.041,-1.373,2.001,5.000,5.000,5.000,5.000,5.000
Germany,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.273,2.044,1.606,1.789,1.800,1.800,1.900,1.900
Ghana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.579,8.839,8.109,8.054,7.672,7.324,7.066,6.884
Greece,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.415,0.804,-1.753,--,0.548,1.264,1.110,1.464
Grenada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.516,1.810,1.806,1.562,1.815,1.889,1.972,2.031
Guatemala,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.200,3.446,4.800,4.750,4.400,4.200,4.000,4.000
Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,19.026,12.833,11.800,7.000,6.000,6.000,6.000,6.000
Guinea-Bissau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.448,1.619,1.700,2.800,2.000,2.000,2.000,2.000
