,Carry_BRLUSD Curncy,Carry_PENUSD Curncy,Carry_MXNUSD Curncy,Carry_COPUSD Curncy,Carry_CLPUSD Curncy,Carry_CNYUSD Curncy,Carry_KRWUSD Curncy,Carry_IDRUSD Curncy,Carry_INRUSD Curncy,Carry_PHPUSD Curncy,Carry_THBUSD Curncy,Carry_TRYUSD Curncy,Carry_RUBUSD Curncy,Carry_ZARUSD Curncy,Carry_CZKEUR Curncy,Carry_HUFEUR Curncy,Carry_PLNEUR Curncy
2000-01-12,7.9254557115201765,12.344929665797316,8.025884694402391,2.21261796836341,4.132242056301798,4.966562499999999,0.08039583333333358,-0.33808228508379334,4.760229166666666,1.9741458333333344,2.0558958333333326,38.17474687074987,-9.020981840590311,1.9639041666666661,0.4238794762387487,4.043603621581733,9.817612228016133
2000-01-19,7.630580747129642,12.193746589371907,11.548104085612081,2.9212125881877644,3.846021210275678,4.690467499999998,0.25305083333333334,-0.6452188744692527,4.725384166666666,1.9718008333333328,1.7085508333333326,32.238762341785694,-9.13350699398657,1.8468841666666667,1.4663472352169094,5.399345164989273,11.225284634708883
2000-01-26,7.946808720961815,11.995797930302027,10.266832053511882,3.46095024683513,3.646451602688254,4.228092499999999,0.1161758333333335,-0.8559618096752736,4.748509166666668,1.8849258333333327,1.3691758333333333,34.67988842521364,-9.236223398343633,1.6390591666666656,1.017319243458099,4.28386677581047,10.070506077611393
2000-02-02,8.099701807524404,11.906054388384717,9.278744329405248,3.458798539115064,3.402973338362118,4.215280000000001,0.30711333333333396,-1.2122513788070584,4.229446666666666,1.7333633333333327,0.7588633333333339,19.405680107833152,-9.10011140288914,1.3715466666666662,1.7483558005712507,4.524396351276478,10.37004275033639
2000-02-09,7.891100564655545,11.811039707900314,8.426816271857824,3.384514775068945,3.164504601125425,4.320280000000001,0.2914466666666672,-2.026568881862667,3.802613333333334,1.525946666666666,0.39494666666666756,12.540690261470399,-9.181511028901756,1.1929383333333363,-0.688798630814385,2.993055285105824,8.975974424600537
2000-02-16,7.945027339200355,11.468412714955909,9.967734822916558,3.458873482667277,2.959999323380443,4.231375,0.3887916666666661,-2.3961365177958993,3.687458333333332,1.2157916666666664,0.2047916666666658,6.528241096703824,-9.139206273527146,1.000633333333334,0.15363659576075953,3.635584727491499,9.735371676245071
2000-02-23,7.984564715025805,11.324180871799557,14.302568916568342,4.111214486492506,2.951593792887005,3.927,0.34316666666666673,-2.6836291212408825,3.359333333333331,0.8276666666666668,0.042916666666665756,2.5779739121820633,-9.209100769359024,0.8832833333333324,-0.9013090104209525,3.3545870869508403,9.636122548763689
2000-03-01,7.965530412449456,10.997153850401272,6.805489755180566,3.7593949969934566,3.136949567635213,3.9644999999999984,0.4106666666666675,-2.8079307429257905,3.126833333333332,0.6201666666666661,0.09791666666666698,-1.646324845193159,-9.14083936638087,0.7918083333333347,0.3726967083316941,3.88648974181018,10.27354290566282
2000-03-08,7.697211731563149,10.845179011316967,7.911234771903761,3.9265527622642673,3.3748588476166144,3.7082500000000005,-0.09500000000000026,-3.272740104633287,2.6875,0.6827500000000011,0.04275000000000008,-4.404407758425139,-9.233556549353198,0.7804249999999999,-2.916171592541322,1.779676783763713,8.051661106283854
2000-03-15,7.635649967018067,10.509012676306575,9.282372817303061,4.0944970995613,3.5864995326906803,3.364500000000001,0.055000000000000965,-3.414078061903203,2.502500000000002,0.8252499999999999,0.4852500000000008,-4.7999170152704,-8.979944950890909,0.7883749999999988,-1.259930174886431,3.2204658664280976,11.004459322848898
2000-03-22,7.486367573242727,10.195536658827246,10.480717986288242,4.213710429680228,3.962683003879232,3.351375,0.11937500000000015,-3.6380114457648216,2.3693750000000002,1.1521249999999994,0.5796249999999994,-5.723110921318336,-9.227856953565597,0.7209500000000001,-1.7246553538529719,4.32724124223089,9.096001481764544
2000-03-29,7.280746879728263,9.847489347060371,7.390382029812456,3.959975767946188,4.344552490900424,3.2635625,0.09531249999999983,-3.7186819478648547,2.2828125,1.0780624999999984,0.6243124999999995,-5.631419940255572,-9.046776882263332,0.6566874999999993,-0.3965717878015418,2.9344435066495937,8.409117137501983
2000-04-05,7.232628145020039,9.481750378785161,11.350122647224877,3.8954273386683327,4.667909649815251,3.1835625000000007,0.36531250000000026,-3.802162907311024,2.4478125,0.8680625000000001,0.5830624999999999,-5.891756344162652,-9.134669695498312,0.6096374999999981,0.3074692697290937,0.6688423470870577,9.421639040970504
2000-04-12,6.453467157712711,9.270469478394455,10.130169699187286,4.125421981549252,4.975033146270906,3.2069999999999994,0.1418333333333341,-4.234159812657035,2.115666666666667,1.0078333333333342,0.03133333333333339,-7.912090028145402,-9.222511834597475,0.6228166666666659,-0.829773350166136,1.4602651258797728,10.035082559974093
2000-04-19,6.7599836482675535,8.917047760098768,10.076113940486698,4.061119451146725,5.19424836564744,3.4329374999999986,0.09402083333333315,-4.24042337786531,2.3903541666666666,0.867520833333333,0.006020833333332358,-9.429047951797342,-9.208958599541178,0.6244791666666673,2.9134171147551506,1.3953932480107845,14.651017914037286
2000-04-26,6.773172162153807,8.741045917387808,6.6862507492643335,4.087455750351424,5.381677094367792,3.3007500000000003,0.06558333333333327,-4.298318023337522,3.0519166666666666,1.1415833333333318,0.015083333333333095,-10.548643799437107,-9.239275423599963,0.6489916666666672,0.20280240846167127,2.224745160614922,13.33593479562509
