,US0003M Index
2004-03-10,1.11
2004-03-17,1.11
2004-03-24,1.11
2004-03-31,1.11
2004-04-07,1.1400000000000001
2004-04-14,1.14188
2004-04-21,1.16875
2004-04-28,1.17
2004-05-05,1.18
2004-05-12,1.24
2004-05-19,1.27
2004-05-26,1.3
2004-06-02,1.34
2004-06-09,1.4275
2004-06-16,1.53375
2004-06-23,1.5699999999999998
2004-06-30,1.6099999999999999
2004-07-07,1.58125
2004-07-14,1.6099999999999999
2004-07-21,1.65
2004-07-28,1.6800000000000002
2004-08-04,1.7
2004-08-11,1.71
2004-08-18,1.73
2004-08-25,1.77
2004-09-01,1.8
2004-09-08,1.8625
2004-09-15,1.8881299999999999
2004-09-22,1.9412500000000001
2004-09-29,2.00563
2004-10-06,2.045
2004-10-13,2.07
2004-10-20,2.09
2004-10-27,2.13
2004-11-03,2.2
2004-11-10,2.27625
2004-11-17,2.33
2004-11-24,2.38063
2004-12-01,2.41875
2004-12-08,2.46
2004-12-15,2.5012499999999998
2004-12-22,2.5300000000000002
2004-12-29,2.56
2005-01-05,2.59
2005-01-12,2.64
2005-01-19,2.68
2005-01-26,2.71
2005-02-02,2.75
2005-02-09,2.77438
2005-02-16,2.82
2005-02-23,2.8731299999999997
2005-03-02,2.94
2005-03-09,2.98
2005-03-16,3.04
2005-03-23,3.09
2005-03-30,3.1
2005-04-06,3.12313
2005-04-13,3.14063
2005-04-20,3.15
2005-04-27,3.19
2005-05-04,3.22
2005-05-11,3.26
2005-05-18,3.2800000000000002
2005-05-25,3.31
2005-06-01,3.35
2005-06-08,3.37938
2005-06-15,3.42063
2005-06-22,3.46
2005-06-29,3.5043800000000003
2005-07-06,3.56
2005-07-13,3.59875
2005-07-20,3.64
2005-07-27,3.68
2005-08-03,3.73313
2005-08-10,3.7800000000000002
2005-08-17,3.81
2005-08-24,3.84063
2005-08-31,3.87
2005-09-07,3.79813
2005-09-14,3.87438
2005-09-21,3.96
2005-09-28,4.02038
2005-10-05,4.1
2005-10-12,4.14
2005-10-19,4.18063
2005-10-26,4.23
2005-11-02,4.28
2005-11-09,4.33
2005-11-16,4.36813
2005-11-23,4.39
2005-11-30,4.42
2005-12-07,4.46
2005-12-14,4.49125
2005-12-21,4.50375
2005-12-28,4.52688
2006-01-04,4.54063
2006-01-11,4.58
2006-01-18,4.601
2006-01-25,4.63975
2006-02-01,4.6899999999999995
2006-02-08,4.72
2006-02-15,4.75
2006-02-22,4.78
2006-03-01,4.83
2006-03-08,4.88
2006-03-15,4.92
2006-03-22,4.95031
2006-03-29,4.97938
2006-04-05,5.01375
2006-04-12,5.06825
2006-04-19,5.07469
2006-04-26,5.12563
2006-05-03,5.15
2006-05-10,5.16438
2006-05-17,5.17381
2006-05-24,5.21438
2006-05-31,5.23813
2006-06-07,5.2825
2006-06-14,5.34063
2006-06-21,5.44875
2006-06-28,5.49875
2006-07-05,5.48875
2006-07-12,5.50031
2006-07-19,5.52
2006-07-26,5.5
2006-08-02,5.47188
2006-08-09,5.40375
2006-08-16,5.41
2006-08-23,5.4
2006-08-30,5.4
2006-09-06,5.39
2006-09-13,5.39
2006-09-20,5.38688
2006-09-27,5.36688
2006-10-04,5.37
2006-10-11,5.37344
2006-10-18,5.37375
2006-10-25,5.38
2006-11-01,5.37
2006-11-08,5.37442
2006-11-15,5.37313
2006-11-22,5.37
2006-11-29,5.36938
2006-12-06,5.35
2006-12-13,5.36
2006-12-20,5.365
2006-12-27,5.36375
2007-01-03,5.36
2007-01-10,5.36
2007-01-17,5.36
2007-01-24,5.36
2007-01-31,5.36
2007-02-07,5.36
2007-02-14,5.36
2007-02-21,5.36
2007-02-28,5.34813
2007-03-07,5.34
2007-03-14,5.35
2007-03-21,5.35
2007-03-28,5.35
2007-04-04,5.35
2007-04-11,5.355
2007-04-18,5.35813
2007-04-25,5.355
2007-05-02,5.355
2007-05-09,5.35813
2007-05-16,5.36
2007-05-23,5.36
2007-05-30,5.36
2007-06-06,5.36
2007-06-13,5.36
2007-06-20,5.36
2007-06-27,5.36
2007-07-04,5.36
2007-07-11,5.36
2007-07-18,5.36
2007-07-25,5.36
2007-08-01,5.35953
2007-08-08,5.38
2007-08-15,5.52
2007-08-22,5.49875
2007-08-29,5.54125
2007-09-05,5.72
2007-09-12,5.70313
2007-09-19,5.2375
2007-09-26,5.19813
2007-10-03,5.24375
2007-10-10,5.2475
2007-10-17,5.19875
2007-10-24,5.065
2007-10-31,4.89375
2007-11-07,4.89625
2007-11-14,4.8774999999999995
2007-11-21,5.015
2007-11-28,5.08125
2007-12-05,5.15063
2007-12-12,5.0575
2007-12-19,4.91
2007-12-26,4.8425
2008-01-02,4.68063
2008-01-09,4.4425
2008-01-16,3.95125
2008-01-23,3.33125
2008-01-30,3.23938
2008-02-06,3.1275
2008-02-13,3.065
2008-02-20,3.07813
2008-02-27,3.085
2008-03-05,3.0
2008-03-12,2.85
2008-03-19,2.59875
2008-03-26,2.67125
2008-04-02,2.7
2008-04-09,2.71563
2008-04-16,2.73375
2008-04-23,2.92
2008-04-30,2.85
2008-05-07,2.73438
2008-05-14,2.7199999999999998
2008-05-21,2.63813
2008-05-28,2.64938
2008-06-04,2.67188
2008-06-11,2.7881299999999998
2008-06-18,2.8025
2008-06-25,2.8081300000000002
2008-07-02,2.79125
2008-07-09,2.79188
2008-07-16,2.785
2008-07-23,2.8
2008-07-30,2.80063
2008-08-06,2.8025
2008-08-13,2.80438
