,Inflation_Differential_BRLUSD Curncy,Inflation_Differential_PENUSD Curncy,Inflation_Differential_MXNUSD Curncy,Inflation_Differential_COPUSD Curncy,Inflation_Differential_CLPUSD Curncy,Inflation_Differential_TRYUSD Curncy,Inflation_Differential_RUBUSD Curncy,Inflation_Differential_ZARUSD Curncy,Inflation_Differential_CNYUSD Curncy,Inflation_Differential_KRWUSD Curncy,Inflation_Differential_IDRUSD Curncy,Inflation_Differential_INRUSD Curncy,Inflation_Differential_PHPUSD Curncy,Inflation_Differential_THBUSD Curncy,Inflation_Differential_CZKEUR Curncy,Inflation_Differential_HUFEUR Curncy,Inflation_Differential_PLNEUR Curncy
2000-01-12,2.8448333333333333,0.14149999999999996,5.308583333333333,5.152333333333332,1.1259166666666667,38.18483333333333,16.794583333333332,3.3735833333333325,-1.92075,-0.458833333333334,6.329999999999999,-0.15616666666666662,2.844916666666666,-1.7705833333333334,1.460083333333333,7.274750000000001,5.564666666666667
2000-01-19,2.8448333333333333,0.14149999999999996,5.308583333333333,5.152333333333332,1.1259166666666667,38.18483333333333,16.794583333333332,3.3735833333333325,-1.92075,-0.458833333333334,6.329999999999999,-0.15616666666666662,2.844916666666666,-1.7705833333333334,1.460083333333333,7.274750000000001,5.564666666666667
2000-01-26,2.8448333333333333,0.14149999999999996,5.308583333333333,5.152333333333332,1.1259166666666667,38.18483333333333,16.794583333333332,3.3735833333333325,-1.92075,-0.458833333333334,6.329999999999999,-0.15616666666666662,2.844916666666666,-1.7705833333333334,1.460083333333333,7.274750000000001,5.564666666666667
2000-02-02,2.8448333333333333,0.14149999999999996,5.308583333333333,5.152333333333332,1.1259166666666667,38.18483333333333,16.794583333333332,3.3735833333333325,-1.92075,-0.458833333333334,6.329999999999999,-0.15616666666666662,2.844916666666666,-1.7705833333333334,1.460083333333333,7.274750000000001,5.564666666666667
2000-02-09,3.1426666666666665,-0.023999999999999716,5.085166666666668,5.2206666666666655,1.124833333333334,40.79866666666667,16.816166666666664,3.350166666666666,-1.9144999999999999,-0.27066666666666694,6.7570000000000014,0.18066666666666717,2.8548333333333336,-1.6991666666666665,1.5091666666666663,7.0425,5.195333333333334
2000-02-16,3.1426666666666665,-0.023999999999999716,5.085166666666668,5.2206666666666655,1.124833333333334,40.79866666666667,16.816166666666664,3.350166666666666,-1.9144999999999999,-0.27066666666666694,6.7570000000000014,0.18066666666666717,2.8548333333333336,-1.6991666666666665,1.5091666666666663,7.0425,5.195333333333334
2000-02-23,3.1426666666666665,-0.023999999999999716,5.085166666666668,5.2206666666666655,1.124833333333334,40.79866666666667,16.816166666666664,3.350166666666666,-1.9144999999999999,-0.27066666666666694,6.7570000000000014,0.18066666666666717,2.8548333333333336,-1.6991666666666665,1.5091666666666663,7.0425,5.195333333333334
2000-03-01,3.1426666666666665,-0.023999999999999716,5.085166666666668,5.2206666666666655,1.124833333333334,40.79866666666667,16.816166666666664,3.350166666666666,-1.9144999999999999,-0.27066666666666694,6.7570000000000014,0.18066666666666717,2.8548333333333336,-1.6991666666666665,1.5091666666666663,7.0425,5.195333333333334
2000-03-08,3.4405000000000006,-0.18950000000000045,4.86175,5.289,1.1237499999999994,43.4125,16.83775,3.3267500000000005,-1.9082500000000002,-0.08249999999999993,7.184000000000001,0.5174999999999995,2.8647499999999995,-1.62775,1.55825,6.81025,4.826000000000001
2000-03-15,3.4405000000000006,-0.18950000000000045,4.86175,5.289,1.1237499999999994,43.4125,16.83775,3.3267500000000005,-1.9082500000000002,-0.08249999999999993,7.184000000000001,0.5174999999999995,2.8647499999999995,-1.62775,1.55825,6.81025,4.826000000000001
2000-03-22,3.4405000000000006,-0.18950000000000045,4.86175,5.289,1.1237499999999994,43.4125,16.83775,3.3267500000000005,-1.9082500000000002,-0.08249999999999993,7.184000000000001,0.5174999999999995,2.8647499999999995,-1.62775,1.55825,6.81025,4.826000000000001
2000-03-29,3.4405000000000006,-0.18950000000000045,4.86175,5.289,1.1237499999999994,43.4125,16.83775,3.3267500000000005,-1.9082500000000002,-0.08249999999999993,7.184000000000001,0.5174999999999995,2.8647499999999995,-1.62775,1.55825,6.81025,4.826000000000001
2000-04-05,3.4405000000000006,-0.18950000000000045,4.86175,5.289,1.1237499999999994,43.4125,16.83775,3.3267500000000005,-1.9082500000000002,-0.08249999999999993,7.184000000000001,0.5174999999999995,2.8647499999999995,-1.62775,1.55825,6.81025,4.826000000000001
2000-04-12,3.7383333333333333,-0.3549999999999994,4.638333333333333,5.357333333333333,1.122666666666667,46.02633333333333,16.859333333333332,3.3033333333333337,-1.9019999999999995,0.10566666666666641,7.611000000000001,0.854333333333334,2.8746666666666663,-1.556333333333333,1.6073333333333335,6.578,4.456666666666667
2000-04-19,3.7383333333333333,-0.3549999999999994,4.638333333333333,5.357333333333333,1.122666666666667,46.02633333333333,16.859333333333332,3.3033333333333337,-1.9019999999999995,0.10566666666666641,7.611000000000001,0.854333333333334,2.8746666666666663,-1.556333333333333,1.6073333333333335,6.578,4.456666666666667
2000-04-26,3.7383333333333333,-0.3549999999999994,4.638333333333333,5.357333333333333,1.122666666666667,46.02633333333333,16.859333333333332,3.3033333333333337,-1.9019999999999995,0.10566666666666641,7.611000000000001,0.854333333333334,2.8746666666666663,-1.556333333333333,1.6073333333333335,6.578,4.456666666666667
